"alpha.hat" "prob.high" "prob.low" "triggerids"
"178" 0.362962962962963 0.1004 0.8996 "208870"
"179" 0.562962962962963 0.0394 0.9606 "208050"
"180" 0.62962962962963 0.0282 0.9718 "361489"
"181" 0.659259259259259 0.0223 0.9777 "311762"
"182" 0.00740740740740741 0.508 0.492 "311874"
"183" 0.814814814814815 0.0067 0.9933 "209351"
"184" 0.155555555555556 0.2547 0.7453 "358520"
"185" 0.355555555555556 0.1021 0.8979 "278903"
"186" 0.496296296296296 0.0544 0.9456 "345551"
"187" 0.318518518518519 0.1346 0.8654 "358574"
"188" 0.162962962962963 0.2352 0.7648 "241963"
"189" 0.711111111111111 0.0138 0.9862 "191512"
"190" 0.859259259259259 0.0054 0.9946 "335647"
"191" 0.392592592592593 0.0909 0.9091 "335715"
"192" 0.162962962962963 0.2343 0.7657 "335895"
"193" 0.407407407407407 0.0789 0.9211 "349450"
"194" 0.4 0.0877 0.9123 "282445"
"195" 0.555555555555556 0.0457 0.9543 "301578"
"196" 0.607407407407407 0.0303 0.9697 "318094"
"197" 0.133333333333333 0.2738 0.7262 "145581"
"198" 0.244444444444444 0.1743 0.8257 "318170"
"199" 0.355555555555556 0.1059 0.8941 "302728"
"200" 0.00740740740740741 0.5657 0.4343 "146227"
"201" 0.392592592592593 0.0909 0.9091 "279898"
"202" 0.177777777777778 0.204 0.796 "279817"
"203" 0.185185185185185 0.2002 0.7998 "338633"
"204" 0.325925925925926 0.1152 0.8848 "373871"
"205" 0.844444444444444 0.0057 0.9943 "113872"
"206" 0.659259259259259 0.0228 0.9772 "151131"
"207" 0.874074074074074 0.0046 0.9954 "150532"
"208" 0.185185185185185 0.196 0.804 "331332"
"209" 0.303703703703704 0.1423 0.8577 "151334"
"210" 0.733333333333333 0.0129 0.9871 "164268"
"211" 0.303703703703704 0.1482 0.8518 "235715"
"212" 0.4 0.0848 0.9152 "306793"
"213" 0.562962962962963 0.0371 0.9629 "235645"
"214" 0.207407407407407 0.1829 0.8171 "306754"
"215" 0.703703703703704 0.0156 0.9844 "112453"
"216" 0.266666666666667 0.1691 0.8309 "222546"
"217" 0.162962962962963 0.2449 0.7551 "118707"
"218" 0.688888888888889 0.0172 0.9828 "202035"
"219" 0.444444444444444 0.0725 0.9275 "421962"
"220" 0.162962962962963 0.2362 0.7638 "419404"
"221" 0.62962962962963 0.0286 0.9714 "349931"
"222" 0.2 0.1864 0.8136 "155242"
"223" 0.562962962962963 0.0431 0.9569 "155284"
"224" 0.6 0.0323 0.9677 "331475"
"225" 0.00740740740740741 0.5281 0.4719 "258408"
"226" 0.407407407407407 0.077 0.923 "257741"
"227" 0.0518518518518519 0.3726 0.6274 "421386"
"228" 0.874074074074074 0.0044 0.9956 "284850"
