@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
0.422,-1.3283,122.613,4.4233e-06,5.242e-05,19.9,88.2,7.61,1450,0,72,0,0.144508,'148833',0.282786628231406,0.106998539064080,0.280049212975428,0.775386546272784,0.324780047172680,0.932769348844886,0.0714096778538078,0.87465955899097
1.71,-1.5861,71.1226,?,3.886e-05,18.6,14.25,8.05,206,1,1.024,1,0.128117,'148646',0.190496543655172,0.98014417802915,0.534320973558351,0.3560781320557,0.867385963443667,0.641711327945814,0.719669286394492,0.261195802595466
2.1,-1.4359,128.046,1.3558e-05,6.028e-05,80.3,254.28,7.56,187,1,1.024,1,0.158196,'336489',0.135446735192090,0.41234049689956,0.366702827392146,0.203097118996084,0.771044643595815,0.370674101868644,0.75793446879834,0.831639854237437
2.954,-1.7048,107.752,4.2299e-06,2.118e-05,30.4,108.56,10.52,600,1,4.096,1,0.216848,'275087',0.995911559322849,0.0436736054252833,0.697830840246752,0.432710767490789,0.505116882035509,0.512572926003486,0.114700016565621,0.619578472105786
0.348,?,23.8777,3.6081e-07,9.431e-06,5.4,20.46,14.21,4775,0,128,1,0.0688052,'207399',0.282615123316646,0.630539081292227,0.526328449836001,0.835076856892556,0.896991060581058,0.118279451504350,0.211114871315658,0.402817043242976
4.27,-1.4072,89.4259,4.8363e-06,9.087e-05,21.8,60.2,10,?,1,2.048,0,0.147656,'117504',0.496977359522134,0.709487442625687,0.96868157479912,0.62536852620542,0.0856491001322865,0.0281570197548717,0.410198933212087,0.28100324398838
6.6,-1.3997,95.3236,2.8779e-06,?,11.5,36,6.58,454,1,16.384,0,0.145486,'177533',0.782405513338745,0.317812519380823,0.99841653346084,0.101120171835646,0.259816150646657,0.724011868005618,0.667984991334379,0.99088047328405
3.53,-1.1476,?,1.8733e-06,?,27.4,109.89,10.48,775,1,8.192,0,0.217816,'177408',0.349184421123937,0.940636092564091,0.543777708197013,0.720151632325724,0.834640708751976,0.787133005913347,0.524719208013266,0.546677064383402
0.767,-1.7404,113.124,1.8591e-06,4.772e-05,52.7,16.2,10.83,262,1,0.512,1,0.10734,'310613',0.383938525803387,0.959219402400777,0.785785350715742,0.00906188157387078,0.462532489793375,0.848468008451164,0.41670716390945,0.472815425135195
0.5295,-1.3529,35.3059,5.9087e-07,3.431e-05,19.6,5.55,9.43,221,1,1.024,1,0.0255989,'330856',0.23489260696806,0.827995284926146,0.95071447151713,0.110421800054610,0.0498599072452635,0.176807973533869,0.256746844388545,0.714950993191451
