% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 00:54:23 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
3.35000e+00,-1.31290e+00,?,?,?,4.21200e-05,2.11270e+00,5.79000e+01,?,?,7.59000e+00,1.96000e+02,1.02400e+00,5.60711e-02,1.54869e-01,3.46069e-01,6.12214e-01,9.11683e-01,yes,yes
3.08200e+00,-1.01370e+00,?,?,?,1.37900e-04,1.62300e+00,5.07000e+01,?,?,1.47700e+01,4.90000e+02,1.02400e+00,6.36628e-02,1.72010e-01,3.74006e-01,6.39300e-01,9.19891e-01,yes,yes
3.96900e+00,-1.37470e+00,?,?,?,2.54100e-04,1.60630e+00,1.32000e+01,?,?,1.09600e+01,1.01900e+03,1.21600e+01,6.54957e-02,1.74661e-01,3.76063e-01,6.39687e-01,9.20021e-01,yes,yes
6.24000e-01,?,-2.06050e+00,?,?,1.14700e-05,1.95810e+00,1.33000e+01,?,?,7.06000e+00,1.77000e+02,1.02400e+00,3.80973e-02,1.03983e-01,2.38602e-01,4.60428e-01,8.22050e-01,yes,yes
1.37000e+00,-1.77180e+00,?,?,?,2.25600e-05,2.19490e+00,1.43000e+01,?,?,1.14200e+01,2.36000e+02,5.12000e-01,2.60667e-02,8.04666e-02,2.03206e-01,4.23225e-01,8.04554e-01,yes,yes
1.06300e+00,-1.28400e+00,?,?,?,5.42500e-05,2.11020e+00,2.95000e+01,?,?,9.31000e+00,1.68000e+02,1.02400e+00,1.05411e-02,3.32424e-02,8.89787e-02,2.14785e-01,6.21131e-01,yes,yes
1.71000e+00,-1.24320e+00,?,?,?,7.82800e-05,2.14890e+00,5.58000e+01,?,?,1.77000e+01,5.20000e+02,1.02400e+00,3.41287e-02,1.03873e-01,2.58009e-01,5.16716e-01,8.75929e-01,yes,yes
9.80000e-01,?,-2.10790e+00,?,?,?,2.26270e+00,7.50000e+00,?,?,7.17000e+00,3.74000e+02,4.09600e+00,3.78806e-02,1.04866e-01,2.42588e-01,4.68589e-01,8.30227e-01,yes,no
4.81300e+00,?,-2.02980e+00,?,?,1.32700e-05,2.00060e+00,1.52000e+01,?,?,7.73000e+00,1.50200e+03,6.40000e+01,8.11021e-02,1.94801e-01,3.90114e-01,6.37478e-01,9.10938e-01,no,no
3.07600e+00,-1.23160e+00,?,?,?,?,2.15040e+00,1.30000e+01,?,?,7.64000e+00,4.94000e+02,1.63840e+01,3.27805e-02,1.01077e-01,2.50977e-01,4.99725e-01,8.59265e-01,yes,yes
1.31400e+00,-1.37480e+00,?,?,?,8.25000e-05,1.90350e+00,2.73800e+02,?,?,8.08000e+00,1.10000e+02,2.56000e-01,8.45137e-03,3.21642e-02,1.01671e-01,2.81812e-01,7.51098e-01,yes,yes
1.15900e+00,-1.15930e+00,?,?,?,6.15900e-05,1.86310e+00,8.57000e+01,?,?,8.76000e+00,2.19000e+02,1.02400e+00,1.81931e-02,6.41420e-02,1.80170e-01,4.08481e-01,8.11606e-01,yes,yes
3.00000e+00,-1.61290e+00,?,?,?,3.21300e-05,2.13170e+00,8.49000e+01,?,?,1.14800e+01,3.32000e+02,1.02400e+00,4.14583e-02,1.21287e-01,2.89450e-01,5.54073e-01,8.92863e-01,yes,yes
1.48900e+00,-1.54570e+00,?,?,?,?,1.90740e+00,8.06000e+01,?,?,1.08000e+01,2.95000e+02,1.02400e+00,3.16080e-02,9.42382e-02,2.33542e-01,4.81025e-01,8.68386e-01,yes,yes
2.62500e+00,-8.03100e-01,?,?,?,8.60300e-06,2.15150e+00,1.77000e+01,?,?,8.87000e+00,1.73200e+03,6.40000e+01,8.73378e-02,2.00246e-01,3.91191e-01,6.37879e-01,9.19204e-01,no,yes
4.41000e+00,-1.00800e+00,?,?,?,?,2.02580e+00,1.80000e+01,?,?,9.99000e+00,2.69000e+02,1.02400e+00,5.07686e-02,1.40174e-01,3.13458e-01,5.63180e-01,8.81425e-01,yes,yes
