% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Sep 23 00:19:56 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE z_man_best NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
3.969e+00,-1.394e+00,1.649e+02,2.550e-06,1.320e+01,5.000e-03,1.096e+01,1.019e+03,1.216e+01,1.747e-01,yes,yes,148225
6.235e-01,?,3.679e+01,4.777e-07,1.330e+01,4.700e-02,7.060e+00,1.770e+02,1.024e+00,1.040e-01,yes,yes,419797
1.370e+00,-1.772e+00,6.065e+01,4.936e-07,1.430e+01,7.100e-02,1.142e+01,2.360e+02,5.120e-01,8.047e-02,yes,yes,370846
4.813e+00,?,4.274e+01,5.319e-07,1.520e+01,1.800e-02,7.730e+00,1.502e+03,6.400e+01,1.948e-01,no,no,414592
1.315e+00,-1.375e+00,3.458e+02,2.792e-05,2.738e+02,1.180e-01,8.080e+00,1.100e+02,2.560e-01,3.216e-02,yes,yes,239899
1.159e+00,-1.159e+00,3.894e+02,1.387e-05,8.570e+01,1.330e-01,8.760e+00,2.190e+02,1.024e+00,6.414e-02,yes,yes,240766
3.000e+00,-1.613e+00,1.822e+02,8.995e-06,8.490e+01,7.100e-02,1.148e+01,3.320e+02,1.024e+00,1.213e-01,yes,yes,357512
6.700e+00,-4.048e-01,1.350e+02,7.597e-07,1.670e+01,3.800e-02,9.390e+00,2.000e+02,1.024e+00,9.520e-02,yes,no,324561
1.490e+00,-1.606e+00,1.350e+02,1.313e-05,8.060e+01,6.400e-02,1.080e+01,2.950e+02,1.024e+00,9.424e-02,yes,yes,205851
2.625e+00,-8.031e-01,4.274e+01,1.098e-06,1.770e+01,7.000e-03,8.870e+00,1.732e+03,6.400e+01,2.002e-01,no,yes,353540
4.410e+00,-1.008e+00,7.450e+01,6.762e-07,1.800e+01,-1.500e-02,9.990e+00,2.690e+02,1.024e+00,1.402e-01,yes,yes,192059
5.110e+00,-6.852e-01,9.038e+01,1.216e-06,1.650e+01,-1.000e-03,1.336e+01,3.110e+03,6.400e+01,2.280e-01,no,yes,211117
2.737e+00,-1.696e+00,7.408e+01,9.220e-07,1.180e+01,7.300e-02,8.620e+00,3.390e+02,4.096e+00,1.227e-01,yes,yes,359530
1.920e+00,-9.344e-01,9.048e+01,6.053e-07,3.010e+01,2.800e-02,8.220e+00,1.610e+02,5.120e-01,1.166e-01,yes,yes,217805
3.424e+00,-6.565e-01,6.425e+01,1.880e-06,2.010e+01,2.400e-02,8.580e+00,3.800e+02,4.096e+00,2.012e-01,yes,yes,217704
