% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Thu Apr 28 15:25:25 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.42660e+00,?,-2.35270e+00,2.91842e+01,2.68940e-06,4.51200e-05,2.02520e+00,2.75000e+01,?,3.61920e+02,7.40000e+00,2.15000e+02,1.02400e+00,7.03095e-02,yes,yes,305288
3.83000e-01,-1.12110e+00,?,9.20247e+01,5.26070e-07,?,?,1.38000e+01,?,2.20000e+00,8.54000e+00,2.01000e+02,1.02400e+00,3.86268e-02,yes,yes,299787
6.17000e-01,-1.58180e+00,?,1.17696e+02,1.70590e-05,?,?,2.49000e+01,?,2.54740e+02,1.42200e+01,1.92800e+03,6.40000e+01,1.89871e-01,no,no,282066
2.19800e+00,-9.92000e-01,?,?,2.65870e-06,3.18000e-05,2.18110e+00,6.00000e+01,?,4.56000e+00,2.27800e+01,1.48500e+03,1.02400e+00,6.02667e-02,yes,yes,156467
1.23000e+00,-1.70950e+00,?,5.81324e+01,9.67330e-07,?,1.78870e+00,1.72000e+01,-3.20000e-02,3.02500e+01,9.84000e+00,2.88000e+02,1.02400e+00,1.39003e-01,yes,yes,316204
1.26100e+00,-9.57000e-01,?,5.88845e+02,1.14590e-04,2.26900e-05,2.12200e+00,3.30400e+02,1.18000e-01,7.49000e+01,1.56200e+01,3.84000e+02,1.02400e+00,3.09487e-02,yes,yes,232683
2.37400e+00,-1.66780e+00,?,6.50574e+01,2.78410e-06,5.42200e-05,1.89920e+00,2.28000e+01,1.93000e-01,1.03970e+02,8.01000e+00,2.59000e+02,2.04800e+00,1.97561e-01,yes,yes,323898
2.69200e+00,?,-2.26800e+00,2.68450e+01,1.10300e-06,?,1.92240e+00,1.59000e+01,?,1.87180e+02,9.48000e+00,4.55000e+02,4.09600e+00,1.51807e-01,yes,yes,295670
3.30000e+00,-1.79380e+00,?,5.65312e+01,8.90160e-07,?,1.98260e+00,3.75000e+01,-1.10000e-02,6.54000e+00,8.20000e+00,2.31000e+02,1.02400e+00,1.10285e-01,yes,no,232339
7.03000e-01,-9.95700e-01,?,?,1.88060e-06,3.16100e-05,2.13990e+00,3.42000e+01,?,1.71040e+02,8.68000e+00,1.62000e+02,5.12000e-01,1.43441e-01,yes,yes,228006
