@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
1.547,-1.3593,?,?,?,6.504e-05,1.7717,35.5,?,?,9.37,239,2.048,0.024325,0.0797668,0.212409,0.459386,0.847845,'yes','yes',0.890931986272335,0.0614224036689848,0.805683228420094,0.747649843571708,0.391639539273456,0.919989664573222,0.384761670371518,0.481520139379427,0.671602151123807,0.256059617036954
1.692,-1.7327,?,?,?,0.0001098,2.1169,39.8,?,?,8.92,2444,112,0.082864,0.202398,0.408279,0.665804,0.93079,'no','yes',0.373391375644132,0.470073197968304,0.74831755971536,0.330244960961863,0.442871803883463,0.889290196821094,0.344952204730362,0.117515284800902,0.715992744779214,0.388684299541637
3.85,-0.981,?,?,?,?,1.7634,15.2,?,?,8.61,647,12.16,0.0356824,0.108463,0.265136,0.518273,0.869925,'yes','no',0.734967247815803,0.459267570171505,0.0927269437815994,0.0334667572751641,0.468098856508732,0.248066941276193,0.701232716673985,0.811267731711268,0.43426760728471,0.67757539707236
4.109,-1.5604,?,?,?,0.0001171,2.1406,24,?,?,8.83,554,26.88,0.0577652,0.154407,0.340195,0.604896,0.914813,'yes','no',0.0471043274737895,0.291691672289744,0.909252499695867,0.370507736224681,0.0938848245423287,0.207795137772337,0.212329864734784,0.772164035821334,0.80419861129485,0.413314878707752
2.296,?,-2.0001,?,?,0.0001794,2.0113,5.4,?,?,6.59,166,1.024,0.0438734,0.125147,0.289047,0.536701,0.870017,'yes','yes',0.298995159100741,0.683133855694905,0.00747735006734729,0.873120370786637,0.935855767223984,0.785566522506997,0.155618961434811,0.530020920792595,0.200829649576917,0.473399590002373
0.6535,-0.864,?,?,?,2.559e-05,2.076,17.5,?,?,11,?,0.512,0.00140169,0.00434538,0.0118313,0.0307959,0.12153,'yes','yes',0.00433168234303594,0.922355282353237,0.225836768746376,0.0724766447674483,0.132360112154856,0.514317412860692,0.609534448711202,0.512932356446981,0.885105484630913,0.358567179879174
2.711,-1.9028,?,?,?,1.251e-05,2.0368,44,?,?,8.78,363,4.096,0.0611277,0.146599,0.299483,0.519938,0.85878,'yes','yes',0.0696904067881405,0.219200658844784,0.726205728482455,0.0182313323020935,0.601663771551102,0.798920832108706,0.0400502700358629,0.366765092825517,0.198494223179296,0.618394130840898
2.452,-1.2922,?,?,?,0.000124,1.8173,78.5,?,?,10.25,260,1.024,0.0439328,0.128584,0.303109,0.566691,0.89404,'yes','yes',0.0532222909387201,0.0641563627868891,0.194259921787307,0.784849119605497,0.567221534438431,0.743581084767357,0.624185831751674,0.652042646659538,0.511143131647259,0.72646681428887
2.641,-1.7522,?,?,?,3.994e-05,2.2039,36.6,?,?,17.85,4514,80,0.0566354,0.153451,0.338519,0.597887,0.902958,'no','yes',0.0283773445989937,0.0598143893294036,0.893000760814175,0.584213083842769,0.238468139898032,0.461685123620555,0.884934672620147,0.251368178520352,0.861036487855017,0.482927676290274
4.6497,-0.8902,?,?,?,?,2.0445,13,?,?,8.16,397,4.096,0.0477577,0.125617,0.278609,0.515954,0.859135,'yes','no',0.835397258866578,0.109215354779735,0.785047268727794,0.0611116690561175,0.0013608920853585,0.449542890070006,0.67564135696739,0.54892615112476,0.918449598830193,0.556225132895634
2.77,-1.0366,?,?,?,9.527e-05,2.0069,147.6,?,?,8.08,115,0.256,0.0172983,0.0565464,0.155269,0.36841,0.812793,'yes','yes',0.80192227405496,0.920280569931492,0.268833614652976,0.510218767216429,0.318918912904337,0.485749988351017,0.374988059746101,0.386512662051246,0.513433245941997,0.0642550161574036
4.772,-1.6523,?,?,?,2.559e-05,2.2197,23.3,?,?,10.4,928,12.16,0.0943802,0.227631,0.447391,0.700737,0.938118,'yes','no',0.875831281766295,0.627975820796564,0.405819510109723,0.461891821818426,0.662825499428436,0.343117392621934,0.321208006236702,0.439549905247986,0.361132741905749,0.789470710325986
1.497,-1.671,?,?,?,8.937e-05,2.0101,85.4,?,?,9.85,705,12.16,0.0444502,0.126068,0.293583,0.553367,0.893372,'yes','no',0.121553187957034,0.0845068127382547,0.55446532741189,0.312438903143629,0.977583470521495,0.864476184127852,0.516821567434818,0.625152988592163,0.214288319926709,0.0576418347191066
0.845,-1.26,?,?,?,6.028e-05,1.9986,12.6,?,?,8.57,387,4.096,0.0672015,0.177203,0.378322,0.640143,0.919468,'yes','yes',0.119052087422460,0.985284570138901,0.675001593772322,0.45334471273236,0.0748406792990863,0.273738492047414,0.534722422249615,0.522679829504341,0.55311076855287,0.351242146221921
0.689,-1.0842,?,?,?,2.176e-05,1.9171,89.3,?,?,20.32,860,1.024,0.0511773,0.140844,0.319149,0.585781,0.907877,'yes','yes',0.618900382425636,0.761011662194505,0.701195598812774,0.431403638795018,0.825502527179196,0.585901651531458,0.854687911691144,0.75511126825586,0.506158085539937,0.689452345483005
