% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Wed Jul 20 23:57:44 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.69200e+00,?,2.68450e+01,1.59000e+01,?,1.87180e+02,9.48000e+00,4.55000e+02,4.09600e+00,1.51807e-01,yes,yes,295670
3.30000e+00,-1.79380e+00,5.65312e+01,3.75000e+01,-1.10000e-02,6.54000e+00,8.20000e+00,2.31000e+02,1.02400e+00,1.10285e-01,yes,no,232339
7.03000e-01,-9.95700e-01,?,3.42000e+01,?,1.71040e+02,8.68000e+00,1.62000e+02,5.12000e-01,1.43441e-01,yes,yes,228006
2.69000e+00,-1.22090e+00,?,7.00000e+01,?,5.95000e+01,1.06300e+01,2.13000e+02,5.12000e-01,8.54879e-02,yes,yes,313087
6.29000e+00,-1.17180e+00,3.22601e+02,3.84000e+01,?,1.97200e+02,1.32600e+01,2.82000e+03,6.40000e+01,1.48584e-01,no,no,153514
3.35000e+00,-1.71320e+00,5.29634e+01,1.25000e+01,-2.40000e-02,1.08000e+01,9.29000e+00,3.11000e+02,2.04800e+00,1.55611e-01,yes,yes,154112
1.10000e+00,-1.18960e+00,6.90006e+01,6.44000e+01,9.50000e-02,7.04000e+00,2.30000e+01,1.45000e+03,1.02400e+00,1.72518e-02,yes,yes,309111
2.43300e+00,-1.56000e+00,1.09165e+02,7.48000e+01,?,4.66200e+01,9.06000e+00,2.09000e+02,5.12000e-01,9.53979e-02,yes,yes,309096
6.06000e-01,-8.30000e-01,8.15773e+01,3.39900e+02,?,9.10000e+00,1.80000e+01,?,6.40000e-02,1.23453e-02,yes,yes,130088
4.42800e-01,-4.66600e-01,3.34456e+01,8.10000e+00,-5.40000e-02,8.37000e+00,9.39000e+00,4.37000e+02,4.09600e+00,5.25430e-02,yes,yes,209755
1.54500e+00,?,1.90219e+01,8.30000e+00,?,2.97000e+00,?,?,?,2.01623e-02,?,yes,312047
7.83000e-01,-1.73670e+00,7.43109e+01,1.51000e+01,4.83000e-01,2.05920e+02,7.00000e+00,1.26000e+03,6.40000e+01,2.90466e-01,no,no,179968
4.04500e+00,-1.18430e+00,?,4.51000e+01,?,6.06000e+00,1.01700e+01,1.99000e+02,5.12000e-01,1.16370e-01,yes,yes,180455
3.22100e+00,-1.87630e+00,?,2.35000e+01,-2.10000e-02,2.95550e+02,9.05000e+00,1.79000e+02,5.12000e-01,1.81242e-01,yes,yes,211957
2.61470e+00,-1.16520e+00,2.86555e+02,4.14000e+01,?,2.39680e+02,8.38000e+00,2.34000e+02,1.02400e+00,8.93744e-02,yes,yes,151207
5.60000e+00,-8.20000e-01,7.08974e+01,4.31000e+01,-2.20000e-02,2.30300e+01,1.20600e+01,2.20000e+02,2.56000e-01,1.24197e-01,yes,no,231362
3.20000e+00,?,2.37070e+01,1.70000e+01,?,7.05000e+00,1.16000e+01,3.71000e+02,1.02400e+00,2.98625e-02,yes,no,231231
2.34600e+00,?,?,1.41000e+01,?,4.90000e+00,1.14700e+01,2.64000e+02,2.04800e+00,8.45535e-02,yes,yes,163136
8.00000e-02,-2.72100e-01,?,7.30000e+00,?,8.32000e+00,9.84000e+00,5.27000e+02,4.09600e+00,1.33826e-01,yes,no,163170
