@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@data
0.836,-1.4067,122.638,4.4072e-06,7.481e-05,48.1,51,10.03,201,1,0.512,1,0.128738,'271019',0.500547460280359,0.47156187472865
2.198,-0.992,?,2.6587e-06,3.18e-05,60,4.56,22.78,1485,1,1.024,1,0.0602667,'156467',0.464963078964502,0.351832850603387
1.23,-1.7095,58.1324,9.6733e-07,?,17.2,30.25,9.84,288,1,1.024,1,0.139003,'316204',0.834044450195506,0.0552457720041275
1.261,-0.957,588.845,0.00011459,2.269e-05,330.4,74.9,15.62,384,1,1.024,1,0.0309487,'232683',0.0647355478722602,0.0238271565176547
2.374,-1.6678,65.0574,2.7841e-06,5.422e-05,22.8,103.97,8.01,259,1,2.048,1,0.197561,'323898',0.526397968642414,0.389869004953653
2.692,?,26.845,1.103e-06,?,15.9,187.18,9.48,455,1,4.096,1,0.151807,'295670',0.679802309023216,0.813799773342907
3.3,-1.7938,56.5312,8.9016e-07,?,37.5,6.54,8.2,231,1,1.024,0,0.110285,'232339',0.439689065562561,0.0489961348939687
0.703,-0.9957,?,1.8806e-06,3.161e-05,34.2,171.04,8.68,162,1,0.512,1,0.143441,'228006',0.893648710567504,0.0295368700753897
2.69,-1.2209,?,2.8691e-06,?,70,59.5,10.63,213,1,0.512,1,0.0854879,'313087',0.981198088964447,0.262700768420473
6.29,-1.1718,322.601,1.2227e-05,0.0001329,38.4,197.2,13.26,2820,0,64,0,0.148584,'153514',0.901771253440529,0.365693386178464
3.35,-1.7132,52.9634,6.1513e-07,?,12.5,10.8,9.29,311,1,2.048,1,0.155611,'154112',0.868892551865429,0.345331335207447
1.1,-1.1896,69.0006,3.703e-06,9.997e-05,64.4,7.04,23,1450,1,1.024,1,0.0172518,'309111',0.371973486850038,0.231341515667737
2.433,-1.56,109.165,5.8812e-06,?,74.8,46.62,9.06,209,1,0.512,1,0.0953979,'309096',0.408659714041278,0.577258178964257
0.606,-0.83,81.5773,1.8614e-05,1.402e-05,339.9,9.1,18,?,1,0.064,1,0.0123453,'130088',0.606430652085692,0.0873840050771832
0.4428,-0.4666,33.4456,?,8.364e-06,8.1,8.37,9.39,437,1,4.096,1,0.052543,'209755',0.568149308208376,0.890490799676627
1.545,?,19.0219,5.8137e-08,?,8.3,2.97,?,?,?,?,1,0.0201623,'312047',0.286312567768618,0.554057529196143
0.783,-1.7367,74.3109,3.8019e-06,0.0001085,15.1,205.92,7,1260,0,64,0,0.290466,'179968',0.780928250402212,0.216280171647668
4.045,-1.1843,?,1.0442e-06,5.761e-06,45.1,6.06,10.17,199,1,0.512,1,0.11637,'180455',0.861052670981735,0.815856626722962
3.221,-1.8763,?,1.8464e-06,1.082e-05,23.5,295.55,9.05,179,1,0.512,1,0.181242,'211957',0.768873076420277,0.00596361234784126
2.6147,-1.1652,286.555,8.6884e-06,9.562e-05,41.4,239.68,8.38,234,1,1.024,1,0.0893744,'151207',0.598041558405384,0.392525361385196
5.6,-0.82,70.8974,1.3183e-06,?,43.1,23.03,12.06,220,1,0.256,0,0.124197,'231362',0.572516787098721,0.612307520583272
3.2,?,23.707,2.4765e-07,?,17,7.05,11.6,371,1,1.024,0,0.0298625,'231231',0.781419894192368,0.781779527431354
2.346,?,?,1.5581e-06,6.881e-05,14.1,4.9,11.47,264,1,2.048,1,0.0845535,'163136',0.576648973394185,0.222421483136714
0.08,-0.2721,?,1.6713e-07,?,7.3,8.32,9.84,527,1,4.096,0,0.133826,'163170',0.666839303681627,0.0190703945700079
4.349,-1.219,77.2381,1.9154e-06,?,11.6,45.6,7.51,1323,0,64,0,0.134745,'301981',0.619662491371855,0.302958571584895
0.297,-1.2156,108.924,1.0308e-06,?,12.5,34.44,8.16,533,1,8.192,0,0.101888,'152113',0.540121905039996,0.696775007760152
0.97,-0.275,?,5.4231e-07,?,12.5,161.25,10.8,2494,0,64,1,0.199427,'276205',0.430781278992072,0.61451998539269
0.49,?,42.5112,1.2386e-05,4.086e-05,50.7,9.57,17.95,660,1,1.024,1,0.00487404,'377179',0.232246286701411,0.292489574057981
1.24,-0.464,78.2516,7.7496e-06,?,63.3,126.36,6.74,156,1,1.024,0,0.107049,'370791',0.396337792277336,0.564278743229806
3.082,-1.0137,?,3.6843e-06,0.0001379,50.7,102.55,14.77,490,1,1.024,1,0.17201,'213823',0.0682927498128265,0.492027685511857
2.45,-1.8196,?,3.9601e-07,?,7.3,14.72,7.15,1465,0,64,0,0.159326,'286809',0.202340309740975,0.960421559168026
