@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
2.4996,-1.3456,124.439,5.22e-06,?,13.5,112.21,6.76,419,1,12.16,1,0.162741,'280706',0.708600795827806,0.226405434776098,0.304993905127048,0.0773329574149102
1.9685,-1.3028,?,5.6132e-06,4.207e-05,50.7,199.32,10,382,1,2.048,1,0.206132,'331093',0.297791061922908,0.432092463131994,0.821145115653053,0.241513508372009
0.714,-1.0884,92.025,4.4323e-07,?,12.5,4.3,10.59,323,1,1.024,0,0.0488872,'174738',0.546487313695252,0.0391188450157642,0.385164552601054,0.487105765612796
3.35,-1.3129,174.457,9.7053e-06,4.212e-05,57.9,453.15,7.59,196,1,1.024,1,0.154869,'319584',0.26161429611966,0.112500749062747,0.755341123556718,0.692651194054633
3.969,-1.3747,110.99,2.6093e-06,0.0002541,13.2,60.48,10.96,1019,1,12.16,1,0.174661,'148225',0.920559000456706,0.675745990825817,0.228325464297086,0.744124221149832
0.624,?,25.9683,4.777e-07,1.147e-05,13.3,9.63,7.06,177,1,1.024,1,0.103983,'419797',0.475021684542298,0.467448571464047,0.765496508451179,0.127394191455096
1.37,-1.7718,?,4.936e-07,2.256e-05,14.3,18.36,11.42,236,1,0.512,1,0.0804666,'370846',0.486627874430269,0.093269381672144,0.804953364189714,0.19958553975448
4.813,?,268.926,5.3188e-07,1.327e-05,15.2,31.72,7.73,1502,0,64,0,0.194801,'414592',0.932400434045121,0.0448715067468584,0.188647820381448,0.773466318845749
1.314,-1.3748,230.426,2.792e-05,8.25e-05,273.8,83,8.08,110,1,0.256,1,0.0321642,'239899',0.467263707658276,0.332582980627194,0.617147511336952,0.249925897223875
1.159,-1.1593,223.072,1.3868e-05,6.159e-05,85.7,26.78,8.76,219,1,1.024,1,0.064142,'240766',0.922028282191604,0.764950155746192,0.377177112037316,0.225810667267069
3,-1.6129,130.059,8.9949e-06,3.213e-05,84.9,267.54,11.48,332,1,1.024,1,0.121287,'357512',0.3565528918989,0.799915560055524,0.0622652624733746,0.0766476090066135
6.7,-0.4048,?,7.5965e-07,?,16.7,8.19,9.39,200,1,1.024,0,0.0952019,'324561',0.201697425683960,0.0907349383924156,0.541564091807231,0.549779527587816
1.489,-1.5457,146.355,1.3632e-05,?,80.6,103.24,10.8,295,1,1.024,1,0.0942382,'205851',0.150745577178895,0.894705064361915,0.347142586251721,0.834862144198269
2.625,-0.8031,?,1.0975e-06,8.603e-06,17.7,79.79,8.87,1732,0,64,1,0.200246,'353540',0.344091739971191,0.061412310693413,0.0986184712965041,0.133269457845017
4.41,-1.008,?,6.7621e-07,?,18,8.4,9.99,269,1,1.024,1,0.140174,'192059',0.812154268147424,0.641039692331105,0.571890871506184,0.960969775682315
5.11,-0.6852,?,1.2156e-06,?,16.5,74.1,13.36,3110,0,64,1,0.227997,'211117',0.426242380402982,0.638023421633989,0.319230190943927,0.587546879192814
2.737,-1.6963,?,?,?,11.8,192.92,?,?,?,?,1,0.122711,'359530',0.368885734817013,0.897302487166598,0.85044610965997,0.838560247095302
1.8,-0.9885,?,6.5142e-07,2.37e-05,30.1,7.5,8.22,161,1,0.512,1,0.116582,'217805',0.574351855088025,0.77006288128905,0.566465416224673,0.376399908913299
3.425,-0.6565,?,?,?,20.1,75.14,8.58,380,1,4.096,1,0.201207,'217704',0.923402786720544,0.673574582440779,0.374110895907506,0.694783127633855
2.4266,?,29.1842,2.6894e-06,4.512e-05,27.5,361.92,7.4,215,1,1.024,1,0.0703095,'305288',0.54088775254786,0.721188105642796,0.187099030241370,0.669385567773134
0.383,-1.1211,92.0247,5.2607e-07,?,13.8,2.2,8.54,201,1,1.024,1,0.0386268,'299787',0.192820571130142,0.696876211790368,0.0532075844239444,0.114491137210280
0.836,-1.4067,122.638,4.4072e-06,7.481e-05,48.1,51,10.03,201,1,0.512,1,0.128738,'271019',0.257979458197951,0.219009964494035,0.337483868934214,0.889653810067102
2.198,-0.992,?,2.6587e-06,3.18e-05,60,4.56,22.78,1485,1,1.024,1,0.0602667,'156467',0.75846618716605,0.089602773077786,0.806892418069765,0.953693550312892
