@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@data
4.813,?,-2.0298,?,?,1.327e-05,2.0006,15.2,?,?,7.73,1502,64,0.0811021,0.194801,0.390114,0.637478,0.910938,'no','no',0.0133883222006261
3.076,-1.2316,?,?,?,?,2.1504,13,?,?,7.64,494,16.384,0.0327805,0.101077,0.250977,0.499725,0.859265,'yes','yes',0.0969195235520601
1.314,-1.3748,?,?,?,8.25e-05,1.9035,273.8,?,?,8.08,110,0.256,0.00845137,0.0321642,0.101671,0.281812,0.751098,'yes','yes',0.0818943995982409
1.159,-1.1593,?,?,?,6.159e-05,1.8631,85.7,?,?,8.76,219,1.024,0.0181931,0.064142,0.18017,0.408481,0.811606,'yes','yes',0.526712035993114
3,-1.6129,?,?,?,3.213e-05,2.1317,84.9,?,?,11.48,332,1.024,0.0414583,0.121287,0.28945,0.554073,0.892863,'yes','yes',0.913230502977967
1.489,-1.5457,?,?,?,?,1.9074,80.6,?,?,10.8,295,1.024,0.031608,0.0942382,0.233542,0.481025,0.868386,'yes','yes',0.25190819427371
2.625,-0.8031,?,?,?,8.603e-06,2.1515,17.7,?,?,8.87,1732,64,0.0873378,0.200246,0.391191,0.637879,0.919204,'no','yes',0.908143473789096
4.41,-1.008,?,?,?,?,2.0258,18,?,?,9.99,269,1.024,0.0507686,0.140174,0.313458,0.56318,0.881425,'yes','yes',0.832441309001297
2.737,-1.6963,?,?,?,?,2.0244,11.8,?,?,?,?,?,0.0437606,0.122711,0.281635,0.524851,0.863359,?,'yes',0.474801450502127
6.7,-0.4048,?,?,?,?,1.7619,16.7,?,?,9.39,200,1.024,0.0301146,0.0952019,0.240543,0.485038,0.848387,'yes','no',0.160898738075048
1.8,-0.9885,?,?,?,2.37e-05,2.1617,30.1,?,?,8.22,161,0.512,0.0394281,0.116582,0.275957,0.522345,0.863079,'yes','yes',0.921181336976588
3.425,-0.6565,?,?,?,?,2.0564,20.1,?,?,8.58,380,4.096,0.0834876,0.201207,0.404501,0.662262,0.928009,'yes','yes',0.38729123165831
2.4266,?,-2.3527,?,?,4.512e-05,2.0252,27.5,?,?,7.4,215,1.024,0.0312289,0.0703095,0.139165,0.244735,0.491676,'yes','yes',0.73569020931609
0.383,-1.1211,?,?,?,?,?,13.8,?,?,8.54,201,1.024,0.00998372,0.0386268,0.119705,0.307513,0.73048,'yes','yes',0.956715260865167
0.617,-1.5818,?,?,?,?,?,24.9,?,?,14.22,1928,64,0.0742569,0.189871,0.398865,0.668414,0.936355,'no','no',0.489077027887106
