% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 11:18:43 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
2.62500e+00,-8.03100e-01,?,?,?,8.60300e-06,2.15150e+00,1.77000e+01,?,?,8.87000e+00,1.73200e+03,6.40000e+01,no,yes
4.41000e+00,-1.00800e+00,?,?,?,?,2.02580e+00,1.80000e+01,?,?,9.99000e+00,2.69000e+02,1.02400e+00,yes,yes
2.73700e+00,-1.69630e+00,?,?,?,?,2.02440e+00,1.18000e+01,?,?,?,?,?,?,yes
6.70000e+00,-4.04800e-01,?,?,?,?,1.76190e+00,1.67000e+01,?,?,9.39000e+00,2.00000e+02,1.02400e+00,yes,no
1.80000e+00,-9.88500e-01,?,?,?,2.37000e-05,2.16170e+00,3.01000e+01,?,?,8.22000e+00,1.61000e+02,5.12000e-01,yes,yes
3.42500e+00,-6.56500e-01,?,?,?,?,2.05640e+00,2.01000e+01,?,?,8.58000e+00,3.80000e+02,4.09600e+00,yes,yes
2.42660e+00,?,-2.35270e+00,?,?,4.51200e-05,2.02520e+00,2.75000e+01,?,?,7.40000e+00,2.15000e+02,1.02400e+00,yes,yes
3.83000e-01,-1.12110e+00,?,?,?,?,?,1.38000e+01,?,?,8.54000e+00,2.01000e+02,1.02400e+00,yes,yes
6.17000e-01,-1.58180e+00,?,?,?,?,?,2.49000e+01,?,?,1.42200e+01,1.92800e+03,6.40000e+01,no,no
2.19800e+00,-9.92000e-01,?,?,?,3.18000e-05,2.18110e+00,6.00000e+01,?,?,2.27800e+01,1.48500e+03,1.02400e+00,yes,yes
1.23000e+00,-1.70950e+00,?,?,?,?,1.78870e+00,1.72000e+01,?,?,9.84000e+00,2.88000e+02,1.02400e+00,yes,yes
1.26100e+00,-9.57000e-01,?,?,?,2.26900e-05,2.12200e+00,3.30400e+02,?,?,1.56200e+01,3.84000e+02,1.02400e+00,yes,yes
2.37400e+00,-1.66780e+00,?,?,?,5.42200e-05,1.89920e+00,2.28000e+01,?,?,8.01000e+00,2.59000e+02,2.04800e+00,yes,yes
2.69200e+00,?,-2.26800e+00,?,?,?,1.92240e+00,1.59000e+01,?,?,9.48000e+00,4.55000e+02,4.09600e+00,yes,yes
3.30000e+00,-1.79380e+00,?,?,?,?,1.98260e+00,3.75000e+01,?,?,8.20000e+00,2.31000e+02,1.02400e+00,yes,no
7.03000e-01,-9.95700e-01,?,?,?,3.16100e-05,2.13990e+00,3.42000e+01,?,?,8.68000e+00,1.62000e+02,5.12000e-01,yes,yes
2.69000e+00,-1.22090e+00,?,?,?,?,2.27630e+00,7.00000e+01,?,?,1.06300e+01,2.13000e+02,5.12000e-01,yes,yes
6.29000e+00,-1.17180e+00,?,?,?,1.32900e-04,1.85760e+00,3.84000e+01,?,?,1.32600e+01,2.82000e+03,6.40000e+01,no,no
3.35000e+00,-1.71320e+00,?,?,?,?,2.90500e+00,1.25000e+01,?,?,9.29000e+00,3.11000e+02,2.04800e+00,yes,yes
1.10000e+00,-1.18960e+00,?,?,?,9.99700e-05,2.01970e+00,6.44000e+01,?,?,2.30000e+01,1.45000e+03,1.02400e+00,yes,yes
2.43300e+00,-1.56000e+00,?,?,?,?,2.16770e+00,7.48000e+01,?,?,9.06000e+00,2.09000e+02,5.12000e-01,yes,yes
6.06000e-01,-8.30000e-01,?,?,?,1.40200e-05,1.98050e+00,3.39900e+02,?,?,1.80000e+01,?,6.40000e-02,yes,yes
4.42800e-01,-4.66600e-01,?,?,?,8.36400e-06,2.72830e+00,8.10000e+00,?,?,9.39000e+00,4.37000e+02,4.09600e+00,yes,yes
1.54500e+00,?,-3.35470e+00,?,?,?,2.23310e+00,8.30000e+00,?,?,?,?,?,?,yes
7.83000e-01,-1.73670e+00,?,?,?,1.08500e-04,2.78260e+00,1.51000e+01,?,?,7.00000e+00,1.26000e+03,6.40000e+01,no,no
4.04500e+00,-1.18430e+00,?,?,?,5.76100e-06,1.87580e+00,4.51000e+01,?,?,1.01700e+01,1.99000e+02,5.12000e-01,yes,yes
9.47000e-01,-1.46630e+00,?,?,?,?,2.05160e+00,1.36300e+02,?,?,0.00000e+00,0.00000e+00,0.00000e+00,yes,no
3.22100e+00,-1.87630e+00,?,?,?,1.08200e-05,1.99530e+00,2.35000e+01,?,?,9.05000e+00,1.79000e+02,5.12000e-01,yes,yes
2.61470e+00,-1.16520e+00,?,?,?,9.56200e-05,1.96620e+00,4.14000e+01,?,?,8.38000e+00,2.34000e+02,1.02400e+00,yes,yes
