% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Sep  6 02:24:03 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
7.830e-01,-1.737e+00,8.772e+01,3.802e-06,1.510e+01,4.830e-01,2.059e+02,1.260e+03,6.400e+01,2.905e-01,no,no,179968
4.045e+00,-1.184e+00,8.346e+01,1.044e-06,4.510e+01,3.700e-02,6.060e+00,1.990e+02,5.120e-01,1.164e-01,yes,yes,180455
3.221e+00,-1.876e+00,7.325e+01,1.846e-06,2.350e+01,-2.100e-02,2.956e+02,1.790e+02,5.120e-01,1.812e-01,yes,yes,211957
2.615e+00,-1.165e+00,4.938e+02,8.688e-06,4.140e+01,2.100e-02,2.397e+02,2.340e+02,1.024e+00,8.937e-02,yes,yes,151207
5.600e+00,-8.200e-01,7.308e+01,1.318e-06,4.310e+01,-2.200e-02,2.303e+01,2.200e+02,2.560e-01,1.242e-01,yes,no,231362
3.200e+00,?,2.019e+01,2.418e-07,1.700e+01,1.620e-01,7.050e+00,3.710e+02,1.024e+00,2.986e-02,yes,no,231231
2.346e+00,1.411e+00,1.051e+02,1.544e-06,1.410e+01,5.000e-02,4.900e+00,2.640e+02,2.048e+00,8.455e-02,yes,yes,163136
8.000e-02,-2.721e-01,5.873e+01,1.671e-07,7.300e+00,1.100e-02,8.320e+00,5.270e+02,4.096e+00,1.338e-01,yes,no,163170
4.349e+00,-1.219e+00,2.460e+02,1.915e-06,1.160e+01,1.650e-01,4.560e+01,1.323e+03,6.400e+01,1.347e-01,no,no,301981
2.970e-01,-1.216e+00,3.403e+02,1.031e-06,1.250e+01,2.350e-01,3.444e+01,5.330e+02,8.192e+00,1.019e-01,yes,no,152113
9.700e-01,-2.750e-01,2.693e+01,5.423e-07,1.250e+01,1.600e-01,1.613e+02,2.494e+03,6.400e+01,1.994e-01,no,yes,276205
4.900e-01,?,2.725e+01,1.239e-05,5.070e+01,3.600e-02,9.570e+00,6.600e+02,1.024e+00,4.874e-03,yes,yes,377179
1.240e+00,-4.640e-01,8.187e+01,7.750e-06,6.330e+01,1.680e-01,1.264e+02,1.560e+02,1.024e+00,1.070e-01,yes,no,370791
