% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Jul 18 22:35:52 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.14840e+00,7.83501e+02,1.35960e-05,8.07000e+01,?,7.93800e+01,8.53000e+00,6.30000e+01,6.40000e-02,5.67779e-02,yes,no,146372
?,-1.51870e+00,4.22536e+01,?,5.50000e+00,?,3.90000e+01,7.18000e+00,1.45200e+03,6.40000e+01,1.45891e-01,no,no,221627
?,-1.24610e+00,5.32289e+01,?,5.00000e+00,?,5.32000e+00,6.00000e+00,?,5.50400e+00,7.93411e-02,yes,no,115135
?,?,3.03629e+01,?,6.70000e+00,?,1.11000e+01,7.64000e+00,4.11000e+02,4.09600e+00,9.66106e-02,yes,no,222683
?,-1.35640e+00,7.59305e+01,?,1.40000e+01,-5.52000e-01,5.95200e+01,8.00000e+00,7.84000e+02,1.21600e+01,1.32868e-01,yes,no,115214
?,-1.50990e+00,?,5.69760e-06,1.07300e+02,9.05000e-01,4.34600e+01,1.04700e+01,2.19000e+02,5.12000e-01,6.27753e-02,yes,no,424733
?,-1.49470e+00,?,1.60790e-06,3.79000e+01,?,5.26000e+01,7.35000e+00,1.89000e+02,1.02400e+00,8.63045e-02,yes,no,207364
?,-1.05720e+00,?,4.58980e-05,2.51600e+02,1.83000e-01,3.44850e+02,1.73100e+01,6.68000e+02,1.02400e+00,6.44131e-02,yes,no,356890
?,-9.56300e-01,?,8.38390e-07,2.22000e+01,?,5.51000e+01,1.67500e+01,3.95000e+03,6.40000e+01,2.21125e-01,no,yes,338633
?,-7.87200e-01,7.97992e+01,1.48700e-06,4.92000e+01,?,1.52600e+01,7.47000e+00,1.49000e+02,5.12000e-01,1.58214e-01,yes,yes,176818
?,-8.57700e-01,1.97455e+02,4.92870e-06,1.98000e+01,2.46000e-01,6.13800e+01,6.97000e+00,1.45000e+02,1.02400e+00,7.91028e-02,yes,yes,176918
?,?,2.82989e+01,8.01340e-07,2.00000e+01,?,2.97000e+01,7.11000e+00,1.91000e+02,1.02400e+00,6.49108e-02,yes,no,339696
?,-1.51530e+00,9.39979e+01,1.32440e-06,3.23000e+01,?,8.80000e+00,7.58000e+00,6.80000e+01,1.28000e-01,9.19442e-02,yes,no,339852
?,-1.19400e-01,?,3.28720e-07,1.09000e+01,?,3.62600e+01,8.74000e+00,1.96200e+03,6.40000e+01,2.00655e-01,no,no,295527
?,-3.58200e-01,?,?,1.88000e+01,-1.58000e-01,3.35400e+01,6.77000e+00,1.81000e+02,1.02400e+00,1.74915e-01,yes,no,160672
?,-1.65570e+00,9.12631e+01,6.00130e-06,5.84000e+01,1.20300e+00,1.20840e+02,?,?,?,2.08133e-01,?,no,205096
?,-1.68310e+00,6.87888e+01,1.37140e-06,1.69000e+01,?,9.78200e+01,7.15000e+00,4.48000e+02,8.19200e+00,2.20320e-01,yes,no,305011
?,-1.86350e+00,4.78230e+01,2.65630e-06,2.24000e+01,1.43000e+00,4.13600e+01,9.32000e+00,5.14000e+02,8.19200e+00,1.82130e-01,yes,no,333666
?,-6.92400e-01,?,8.09350e-07,2.04000e+01,?,2.75000e+01,5.64000e+00,1.40000e+02,1.02400e+00,1.60406e-01,yes,no,350853
?,-1.65630e+00,6.03967e+01,3.75250e-06,2.54000e+01,-2.39000e-01,6.30000e+01,8.52000e+00,3.18000e+02,2.04800e+00,1.79876e-01,yes,no,333427
?,-6.85000e-01,4.61653e+01,3.40120e-07,2.21000e+01,?,5.80000e+00,1.29100e+01,3.69000e+02,1.02400e+00,1.06998e-01,yes,no,350854
?,-1.14000e-02,9.24027e+01,5.10380e-06,5.08000e+01,?,2.50000e+01,8.00000e+00,?,1.02400e+00,1.11678e-01,yes,no,106415
?,-8.94000e-01,1.09606e+02,1.93930e-05,7.19000e+01,?,2.09300e+01,1.70000e+01,?,1.02400e+00,2.72513e-02,yes,no,106442
?,-1.15020e+00,?,5.16900e-07,2.47000e+01,?,9.94000e+00,1.41300e+01,2.60000e+02,5.12000e-01,4.07916e-02,yes,no,308812
?,-1.40070e+00,8.00009e+01,5.15500e-07,1.94000e+01,?,2.37000e+00,7.01000e+00,4.70000e+01,6.40000e-02,4.97987e-02,yes,no,412217
?,?,2.48498e+01,1.37240e-06,2.47000e+01,-3.06000e-01,3.66300e+01,1.08500e+01,5.16000e+02,4.09600e+00,8.29053e-02,yes,no,412220
?,-1.45500e+00,?,2.19410e-06,6.08000e+01,3.44000e-01,3.52200e+01,1.10300e+01,1.31000e+02,1.28000e-01,3.10146e-02,yes,no,422783
?,-1.64370e+00,1.32698e+02,2.44570e-06,2.80000e+01,1.66000e-01,7.92000e+00,7.75000e+00,5.40000e+01,6.40000e-02,5.37314e-02,yes,no,359884
