% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Sep 19 00:52:24 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.363e+00,6.050e+02,1.790e-05,8.370e+01,1.210e-01,9.100e+01,1.528e+01,4.870e+02,1.024e+00,8.164e-02,yes,yes,307931
?,-1.668e+00,1.105e+02,7.666e-06,1.810e+01,-4.000e-03,1.839e+02,7.460e+00,9.870e+02,6.400e+01,2.235e-01,no,no,307604
?,-1.612e+00,9.512e+01,5.636e-07,1.360e+01,5.300e-02,2.142e+01,7.640e+00,2.450e+02,1.408e+00,1.401e-01,yes,no,306858
?,-1.936e+00,4.724e+01,6.461e-07,9.000e+00,2.600e-01,2.641e+02,8.920e+00,1.951e+03,6.400e+01,1.978e-01,no,no,345777
?,-1.288e+00,4.924e+02,2.076e-05,1.146e+02,1.870e-01,1.507e+02,1.051e+01,2.960e+02,1.024e+00,9.052e-02,yes,no,261299
?,-1.214e+00,6.113e+01,1.742e-06,1.460e+01,6.060e-01,7.632e+01,7.240e+00,3.360e+02,3.072e+00,2.408e-01,yes,no,261664
?,?,2.958e+01,3.332e-07,9.500e+00,-7.700e-02,2.403e+01,7.500e+00,1.508e+03,6.400e+01,1.484e-01,no,no,261880
?,-1.788e+00,6.065e+01,1.000e-06,2.290e+01,8.200e-02,1.512e+01,1.208e+01,2.580e+02,5.120e-01,1.342e-01,yes,yes,382399
?,-1.956e+00,4.966e+01,2.934e-06,3.360e+01,9.900e-02,1.133e+02,8.530e+00,1.890e+02,1.024e+00,1.597e-01,yes,yes,302506
?,?,3.012e+01,8.364e-08,7.800e+00,1.050e-01,3.720e+00,6.510e+00,2.550e+02,2.048e+00,7.458e-02,yes,no,295779
?,-1.052e+00,3.669e+02,8.113e-06,8.140e+01,5.330e-01,1.830e+01,1.073e+01,1.120e+02,6.400e-02,5.015e-02,yes,no,318101
?,-1.148e+00,8.319e+02,1.360e-05,8.070e+01,9.100e-02,7.938e+01,8.530e+00,6.300e+01,6.400e-02,5.678e-02,yes,no,146372
?,-1.519e+00,9.531e+01,3.211e-07,5.500e+00,?,3.900e+01,7.180e+00,1.452e+03,6.400e+01,1.459e-01,no,no,221627
?,-1.270e+00,1.822e+02,1.671e-07,5.000e+00,3.730e-01,5.320e+00,6.000e+00,3.790e+02,5.504e+00,7.934e-02,yes,no,115135
?,4.999e+00,3.012e+01,5.451e-08,6.700e+00,1.010e-01,1.110e+01,7.640e+00,4.110e+02,4.096e+00,9.661e-02,yes,no,222683
?,-1.356e+00,1.500e+02,1.231e-06,1.400e+01,-5.520e-01,5.952e+01,8.000e+00,7.840e+02,1.216e+01,1.329e-01,yes,no,115214
?,-1.510e+00,6.538e+01,5.698e-06,1.073e+02,9.050e-01,4.346e+01,1.047e+01,2.190e+02,5.120e-01,6.278e-02,yes,no,424733
?,-1.495e+00,4.542e+01,1.608e-06,3.790e+01,1.790e-01,5.260e+01,7.350e+00,1.890e+02,1.024e+00,8.630e-02,yes,no,207364
?,-1.057e+00,3.004e+02,4.590e-05,2.516e+02,1.830e-01,3.449e+02,1.731e+01,6.680e+02,1.024e+00,6.441e-02,yes,no,356890
?,-7.872e-01,8.314e+01,1.487e-06,4.920e+01,1.250e-01,1.526e+01,7.470e+00,1.490e+02,5.120e-01,1.582e-01,yes,yes,176818
?,-8.577e-01,5.409e+02,4.929e-06,1.980e+01,2.460e-01,6.138e+01,6.970e+00,1.450e+02,1.024e+00,7.910e-02,yes,yes,176918
?,?,2.231e+01,8.013e-07,2.000e+01,2.040e-01,2.970e+01,7.110e+00,1.910e+02,1.024e+00,6.491e-02,yes,no,339696
?,-1.515e+00,1.284e+02,1.324e-06,3.230e+01,1.550e-01,8.800e+00,7.580e+00,6.800e+01,1.280e-01,9.194e-02,yes,no,339852
?,-1.194e-01,5.769e+01,3.287e-07,1.090e+01,1.100e-02,3.626e+01,8.740e+00,1.962e+03,6.400e+01,2.007e-01,no,no,295527
?,-3.582e-01,9.876e+01,9.155e-07,1.880e+01,-1.580e-01,3.354e+01,6.770e+00,1.810e+02,1.024e+00,1.749e-01,yes,no,160672
?,-1.656e+00,1.110e+02,6.001e-06,5.840e+01,1.203e+00,1.208e+02,7.260e+00,1.711e+03,6.400e+01,2.081e-01,no,no,205096
?,-1.683e+00,9.048e+01,1.371e-06,1.690e+01,1.210e-01,9.782e+01,7.150e+00,4.480e+02,8.192e+00,2.203e-01,yes,no,305011
?,-1.864e+00,6.065e+01,2.656e-06,2.240e+01,1.430e+00,4.136e+01,9.320e+00,5.140e+02,8.192e+00,1.821e-01,yes,no,333666
?,-6.924e-01,1.105e+02,8.094e-07,2.040e+01,1.980e-01,2.750e+01,5.640e+00,1.400e+02,1.024e+00,1.604e-01,yes,no,350853
?,-1.656e+00,7.788e+01,3.753e-06,2.540e+01,-2.390e-01,6.300e+01,8.520e+00,3.180e+02,2.048e+00,1.799e-01,yes,no,333427
?,-6.850e-01,4.724e+01,3.401e-07,2.210e+01,8.700e-02,5.800e+00,1.291e+01,3.690e+02,1.024e+00,1.070e-01,yes,no,350854
?,1.870e-02,1.000e+02,4.908e-06,5.080e+01,9.100e-02,2.500e+01,8.000e+00,1.930e+02,1.024e+00,1.117e-01,yes,no,106415
?,-8.940e-01,1.116e+02,1.939e-05,7.190e+01,8.800e-02,2.093e+01,1.700e+01,4.090e+02,1.024e+00,2.725e-02,yes,no,106442
?,-1.150e+00,4.066e+01,5.169e-07,2.470e+01,1.890e-01,9.940e+00,1.413e+01,2.600e+02,5.120e-01,4.079e-02,yes,no,308812
?,-1.401e+00,1.350e+02,5.155e-07,1.940e+01,8.800e-02,2.370e+00,7.010e+00,4.700e+01,6.400e-02,4.980e-02,yes,no,412217
?,?,2.865e+01,1.372e-06,2.470e+01,-3.060e-01,3.663e+01,1.085e+01,5.160e+02,4.096e+00,8.291e-02,yes,no,412220
?,-1.455e+00,4.966e+01,2.194e-06,6.080e+01,3.440e-01,3.522e+01,1.103e+01,1.310e+02,1.280e-01,3.101e-02,yes,no,422783
?,-1.644e+00,1.649e+02,2.446e-06,2.800e+01,1.660e-01,7.920e+00,7.750e+00,5.400e+01,6.400e-02,5.373e-02,yes,no,359884
?,-1.425e+00,2.725e+01,1.872e-06,2.130e+01,2.620e-01,1.516e+02,1.318e+01,3.085e+03,6.400e+01,1.189e-01,no,no,359378
?,-1.470e+00,7.788e+01,5.342e-06,8.270e+01,3.560e-01,9.790e+01,7.940e+00,1.040e+02,2.560e-01,7.775e-02,yes,no,424998
?,4.999e+00,1.653e+01,1.019e-07,4.700e+00,?,4.150e+00,7.510e+00,1.568e+03,6.400e+01,5.319e-02,no,no,306323
?,-1.363e+00,2.226e+02,3.745e-06,3.590e+01,?,1.510e+02,8.200e+00,3.310e+02,2.048e+00,1.387e-01,yes,yes,337073
?,-1.587e+00,2.226e+02,9.612e-06,7.420e+01,1.170e-01,3.848e+02,1.612e+01,2.913e+03,6.400e+01,1.664e-01,no,no,283791
?,?,3.848e+01,3.268e-06,1.460e+01,6.600e-02,2.517e+02,8.660e+00,1.873e+03,1.680e+02,9.595e-02,no,no,156434
?,-1.832e+00,6.065e+01,8.898e-06,5.210e+01,5.600e-02,3.713e+02,7.720e+00,1.200e+02,2.560e-01,1.179e-01,yes,yes,371050
?,-1.721e+00,6.376e+01,3.489e-07,1.080e+01,1.800e-02,4.200e+00,7.300e+00,1.680e+02,1.024e+00,9.613e-02,yes,yes,315819
?,-1.654e+00,9.820e+01,1.400e-06,1.300e+01,1.730e-01,2.256e+01,8.160e+00,4.530e+02,8.192e+00,1.601e-01,yes,no,231974
?,-1.266e+00,1.732e+02,1.174e-05,1.271e+02,1.840e-01,7.521e+01,7.710e+00,2.100e+02,1.024e+00,1.011e-01,yes,no,227996
?,-1.945e+00,4.966e+01,3.521e-06,1.850e+01,1.600e-01,1.307e+02,7.190e+00,1.127e+03,6.400e+01,2.201e-01,no,no,423181
?,-1.525e+00,9.512e+01,7.884e-07,1.090e+01,1.450e-01,5.453e+01,6.890e+00,9.030e+02,2.688e+01,1.780e-01,yes,no,423184
?,4.412e+00,4.966e+01,7.088e-07,1.310e+01,2.450e-01,1.130e+02,7.100e+00,5.450e+02,8.192e+00,1.988e-01,yes,no,176620
?,5.600e-03,2.403e+02,2.044e-06,1.730e+01,-1.090e-01,5.985e+01,7.760e+00,3.970e+02,8.192e+00,1.326e-01,yes,no,210084
?,-1.242e+00,4.482e+02,2.142e-05,1.565e+02,1.560e-01,2.275e+02,1.013e+01,1.090e+02,6.400e-02,2.944e-02,yes,yes,348152
?,-1.482e+00,1.000e+02,1.074e-06,1.350e+01,2.310e-01,1.475e+02,8.430e+00,3.120e+02,2.048e+00,1.565e-01,yes,no,348650
?,-1.821e+00,3.166e+01,3.130e-06,6.170e+01,4.510e-01,8.584e+01,8.910e+00,3.370e+02,2.048e+00,6.738e-02,yes,no,348428
?,-1.358e+00,1.649e+02,2.039e-06,1.440e+01,-2.950e-01,3.720e+01,1.024e+01,4.930e+02,4.096e+00,1.258e-01,yes,no,280958
?,-9.488e-01,9.048e+01,9.868e-07,2.160e+01,-3.800e-02,5.538e+01,7.000e+00,2.910e+02,3.072e+00,2.040e-01,yes,no,312242
?,-1.821e+00,5.815e+01,3.365e-07,9.100e+00,1.950e-01,1.092e+01,9.860e+00,1.960e+02,5.120e-01,1.169e-01,yes,no,254532
?,-1.134e+00,6.307e+02,1.195e-05,4.820e+01,8.500e-02,3.575e+02,1.729e+01,4.809e+03,9.600e+01,9.525e-02,no,yes,255029
?,-1.505e+00,1.053e+02,1.656e-06,1.200e+01,5.400e-02,8.366e+01,8.160e+00,1.566e+03,8.000e+01,2.077e-01,no,no,180151
