@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
1.1,-1.19,69,3.703e-06,64.4,0.095,7.04,23,1450,1.024,0.01725,'yes','yes','309111',0.705032185418531,0.100888592191041,0.425628429045901,0.733260473236442,0.784497340209782,0.461612540995702,0.994719395646825,0.0806025105994195
2.433,-1.56,109.2,5.881e-06,74.8,0.066,46.62,9.06,209,0.512,0.0954,'yes','yes','309096',0.118347300449386,0.0321428638417274,0.611992055084556,0.842696434818208,0.403625301551074,0.498573388904333,0.578224594006315,0.634274343494326
0.606,-0.83,81.58,1.861e-05,339.9,0.049,9.1,18,?,0.064,0.01235,'yes','yes','130088',0.668926568469033,0.0588476918637753,0.716759730828926,0.073262429330498,0.429766567889601,0.245090668555349,0.279321287292987,0.0591965157072991
0.4428,-0.4666,33.45,2.032e-07,8.1,-0.054,8.37,9.39,437,4.096,0.05254,'yes','yes','209755',0.598957921611145,0.894247230375186,0.235094737960026,0.505826391046867,0.677935061510652,0.675742217339575,0.64725132053718,0.0880659816320986
1.545,?,19.02,5.814e-08,8.3,0.205,2.97,?,?,?,0.02016,?,'yes','312047',0.833462312584743,0.334752918453887,0.814666145015508,0.105214742012322,0.861982447560877,0.539301526732743,0.514683749061078,0.379974709823728
0.783,-1.737,74.31,3.802e-06,15.1,0.483,205.9,7,1260,64,0.2905,'no','no','179968',0.293066606624052,0.333129076519981,0.222186005674303,0.24785939627327,0.273831515107304,0.151369555853307,0.320116979302838,0.862262439681217
4.045,-1.184,87.03,1.044e-06,45.1,0.037,6.06,10.17,199,0.512,0.1164,'yes','yes','180455',0.79691971722059,0.133115383796394,0.0195691920816898,0.00192485377192497,0.829275305382907,0.746472835307941,0.407564025837928,0.268598435912281
3.221,-1.876,?,1.846e-06,23.5,-0.021,295.6,9.05,179,0.512,0.1812,'yes','yes','211957',0.630011200904846,0.672108060447499,0.451072237454355,0.662116867722943,0.930752173997462,0.0297592349816114,0.320483555318788,0.975073934765533
2.615,-1.165,286.6,8.688e-06,41.4,0.021,239.7,8.38,234,1.024,0.08937,'yes','yes','151207',0.268048108788207,0.608559948857874,0.0130095065105706,0.0290200160816312,0.0418622328434139,0.594886409118772,0.243433361174539,0.144653166411445
5.6,-0.82,70.9,1.318e-06,43.1,-0.022,23.03,12.06,220,0.256,0.1242,'yes','no','231362',0.443164834287018,0.82705565681681,0.342810506001115,0.96695051039569,0.259244735119864,0.493292848579586,0.59480414330028,0.937635138630867
3.2,?,23.71,2.477e-07,17,0.162,7.05,11.6,371,1.024,0.02986,'yes','no','231231',0.120760224759579,0.659703948767856,0.122881730552763,0.563152192160487,0.460688406368718,0.811091495677829,0.00666104210540652,0.335787608521059
2.346,1.229,51.84,1.558e-06,14.1,0.05,4.9,11.47,264,2.048,0.08455,'yes','yes','163136',0.848575315438211,0.62203300697729,0.884297094773501,0.400104478467256,0.613144974922761,0.817680575419217,0.461077650776133,0.87620408879593
0.08,-0.2721,52.99,1.671e-07,7.3,0.011,8.32,9.84,527,4.096,0.1338,'yes','no','163170',0.801790455821902,0.930090718204156,0.133270952850580,0.583542111795396,0.72991305636242,0.321294821100309,0.224327818490565,0.848826179280877
4.349,-1.219,77.24,1.915e-06,11.6,0.165,45.6,7.51,1323,64,0.1347,'no','no','301981',0.972368668066338,0.261818525148556,0.522378157824278,0.794669222319499,0.25423098821193,0.499406402697787,0.376559927826747,0.154601073591039
0.297,-1.216,108.9,1.031e-06,12.5,0.235,34.44,8.16,533,8.192,0.1019,'yes','no','152113',0.643635828047991,0.119811375392601,0.25427431659773,0.664186414796859,0.163305563619360,0.610517989611253,0.431110695702955,0.722788969054818
0.97,-0.275,30.46,5.423e-07,12.5,0.16,161.3,10.8,2494,64,0.1994,'no','yes','276205',0.0493194742593914,0.231573574943468,0.3498164054472,0.872973991790786,0.93911104183644,0.658594817388803,0.723188642645255,0.845203341916203
0.49,?,42.51,1.239e-05,50.7,0.036,9.57,17.95,660,1.024,0.004874,'yes','yes','377179',0.879700634395704,0.45393364620395,0.283429097384214,0.97617692942731,0.651822519721463,0.178614549804479,0.41732709784992,0.914469335926697
1.24,-0.464,78.25,7.75e-06,63.3,0.168,126.4,6.74,156,1.024,0.107,'yes','no','370791',0.340169628383592,0.242314811330289,0.92914717248641,0.428951715119183,0.686861153924838,0.418495079968125,0.412516339449212,0.957803060300648
3.082,-1.014,137.5,3.684e-06,50.7,0.02,102.6,14.77,490,1.024,0.172,'yes','yes','213823',0.885092670563608,0.81393735925667,0.196035090368241,0.617727456847206,0.416841518133879,0.996485220268369,0.121674461290240,0.9138517761603
2.45,-1.82,?,3.96e-07,7.3,0.014,14.72,7.15,1465,64,0.1593,'no','no','286809',0.416644175769761,0.417093270923942,0.631963761057705,0.752392423572019,0.0897836938966066,0.636438546702266,0.483034303877503,0.489365918328986
0.971,-1.688,22.74,1.458e-06,83.3,0.055,4.44,11.47,200,0.256,0.009347,'yes','yes','373172',0.817028475692496,0.243826892925426,0.701328107621521,0.241687141824514,0.770364985568449,0.704266227316111,0.199324639048427,0.84090287075378
1.755,-0.5261,36.02,4.109e-07,14.8,0.054,43.56,9.39,238,1.024,0.04162,'yes','no','420398',0.461426723049954,0.909865216584876,0.917221165262163,0.286070601316169,0.766040137270465,0.75653965305537,0.505247415276244,0.909772247076035
