% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:28 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE grb {yes, no}
@ATTRIBUTE Q_hat_train {yes, no}
@ATTRIBUTE Z {yes, no}
@ATTRIBUTE A {yes, no}
@ATTRIBUTE EP0 {yes, no}
@ATTRIBUTE FL {yes, no}
@ATTRIBUTE MAX_SNR {yes, no}
@ATTRIBUTE NH_PC {yes, no}
@ATTRIBUTE T90 {yes, no}
@ATTRIBUTE bat_image_signif {yes, no}
@ATTRIBUTE bat_img_peak {yes, no}
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE bat_trigger_dur {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE PROB_Z_GT_4 {yes, no}

@DATA
060206,4.706e-01,4.045e+00,-1.184e+00,8.703e+01,1.044e-06,4.510e+01,3.700e-02,6.060e+00,1.017e+01,1.990e+02,yes,5.120e-01,yes,1.164e-01
090814A,3.366e-01,6.960e-01,-6.803e-01,4.637e+01,1.285e-06,1.370e+01,-7.900e-02,1.132e+02,1.001e+01,1.837e+03,no,8.800e+01,yes,2.169e-01
081121,4.367e-01,2.512e+00,-5.208e-01,1.338e+02,7.885e-06,2.440e+01,2.600e-02,1.938e+01,9.790e+00,2.410e+02,yes,4.096e+00,yes,8.966e-02
060927,1.861e-01,5.600e+00,-8.200e-01,7.090e+01,1.318e-06,4.310e+01,-2.200e-02,2.303e+01,1.206e+01,2.200e+02,yes,2.560e-01,no,1.242e-01
060926,6.703e-01,3.200e+00,?,2.371e+01,2.477e-07,1.700e+01,1.620e-01,7.050e+00,1.160e+01,3.710e+02,yes,1.024e+00,no,2.986e-02
070518,4.409e-01,1.160e+00,?,4.197e+01,2.059e-07,1.010e+01,9.100e-02,5.340e+00,?,?,?,?,yes,9.920e-02
100302A,1.764e-01,4.813e+00,?,2.689e+02,5.319e-07,1.520e+01,1.800e-02,3.172e+01,7.730e+00,1.502e+03,no,6.400e+01,no,1.948e-01
070208,9.921e-02,1.165e+00,-4.458e-01,6.039e+01,5.672e-07,1.030e+01,1.820e-01,5.248e+01,7.290e+00,1.870e+02,yes,1.408e+00,no,1.637e-01
091109A,3.225e-01,3.076e+00,-1.232e+00,2.004e+02,3.625e-06,1.300e+01,6.900e-02,4.968e+01,7.640e+00,4.940e+02,yes,1.638e+01,yes,1.011e-01
090418A,7.923e-01,1.608e+00,-1.387e+00,1.723e+02,8.704e-06,5.240e+01,1.950e-01,5.797e+01,8.160e+00,1.630e+02,yes,1.024e+00,yes,1.262e-01
090102,7.078e-01,1.547e+00,-1.359e+00,1.823e+02,1.424e-05,3.550e+01,7.900e-02,3.069e+01,9.370e+00,2.390e+02,yes,2.048e+00,yes,7.977e-02
051109A,5.188e-01,2.346e+00,1.229e+00,5.184e+01,1.558e-06,1.410e+01,5.000e-02,4.900e+00,1.147e+01,2.640e+02,yes,2.048e+00,yes,8.455e-02
061121,8.202e-01,1.314e+00,-1.375e+00,2.304e+02,2.792e-05,2.738e+02,1.180e-01,8.300e+01,8.080e+00,1.100e+02,yes,2.560e-01,yes,3.216e-02
051109B,9.866e-02,8.000e-02,-2.721e-01,5.299e+01,1.671e-07,7.300e+00,1.100e-02,8.320e+00,9.840e+00,5.270e+02,yes,4.096e+00,no,1.338e-01
061126,8.153e-01,1.159e+00,-1.159e+00,2.231e+02,1.387e-05,8.570e+01,1.330e-01,2.678e+01,8.760e+00,2.190e+02,yes,1.024e+00,yes,6.414e-02
090424,8.078e-01,5.440e-01,-1.078e+00,1.261e+02,2.837e-05,1.317e+02,1.950e-01,5.028e+01,2.330e+01,3.348e+03,yes,1.024e+00,yes,9.013e-03
090715B,7.871e-01,3.000e+00,-1.613e+00,1.301e+02,8.995e-06,8.490e+01,7.100e-02,2.675e+02,1.148e+01,3.320e+02,yes,1.024e+00,yes,1.213e-01
060218,3.339e-01,3.310e-02,-8.437e-01,4.100e+01,7.853e-07,6.300e+00,3.900e-01,1.280e+02,7.840e+00,2.111e+03,no,8.000e+01,yes,2.715e-01
080928,6.307e-01,1.692e+00,-1.733e+00,6.332e+01,3.959e-06,3.980e+01,6.400e-02,2.849e+02,8.920e+00,2.444e+03,no,1.120e+02,yes,2.024e-01
091029,6.162e-01,2.752e+00,-1.402e+00,5.935e+01,2.842e-06,6.840e+01,4.000e-02,3.996e+01,9.180e+00,2.430e+02,yes,1.024e+00,yes,9.921e-02
090519,3.297e-01,3.850e+00,-9.810e-01,1.290e+02,3.254e-06,1.520e+01,-3.200e-02,8.177e+01,8.610e+00,6.470e+02,yes,1.216e+01,no,1.085e-01
060729,7.370e-01,5.400e-01,-1.795e+00,5.800e+01,4.322e-06,4.470e+01,7.600e-02,1.195e+02,7.130e+00,2.430e+02,yes,4.096e+00,yes,1.745e-01
091020,7.785e-01,1.710e+00,-1.243e+00,1.400e+02,5.175e-06,5.580e+01,7.900e-02,3.900e+01,1.770e+01,5.200e+02,yes,1.024e+00,yes,1.039e-01
080129,8.825e-03,4.349e+00,-1.219e+00,7.724e+01,1.915e-06,1.160e+01,1.650e-01,4.560e+01,7.510e+00,1.323e+03,no,6.400e+01,no,1.347e-01
050826,6.235e-02,2.970e-01,-1.216e+00,1.089e+02,1.031e-06,1.250e+01,2.350e-01,3.444e+01,8.160e+00,5.330e+02,yes,8.192e+00,no,1.019e-01
070419A,2.373e-01,9.700e-01,-2.750e-01,3.046e+01,5.423e-07,1.250e+01,1.600e-01,1.613e+02,1.080e+01,2.494e+03,no,6.400e+01,yes,1.994e-01
090516A,2.137e-01,4.109e+00,-1.560e+00,1.012e+02,1.490e-05,2.400e+01,5.500e-02,2.285e+02,8.830e+00,5.540e+02,yes,2.688e+01,no,1.544e-01
060124,5.985e-01,2.296e+00,4.996e+00,2.964e+01,4.757e-07,5.400e+00,5.800e-02,8.160e+00,6.590e+00,1.660e+02,yes,1.024e+00,yes,1.251e-01
050416A,7.282e-01,6.535e-01,-8.640e-01,2.418e+01,3.511e-07,1.750e+01,2.340e-01,2.910e+00,1.100e+01,?,yes,5.120e-01,yes,4.345e-03
080913,4.575e-01,6.700e+00,-4.048e-01,9.820e+01,7.596e-07,1.670e+01,3.800e-02,8.190e+00,9.390e+00,2.000e+02,yes,1.024e+00,no,9.520e-02
060418,7.813e-01,1.489e+00,-1.546e+00,1.464e+02,1.363e-05,8.060e+01,6.400e-02,1.032e+02,1.080e+01,2.950e+02,yes,1.024e+00,yes,9.424e-02
070810A,6.156e-01,2.170e+00,-7.461e-01,4.223e+01,5.738e-07,2.460e+01,6.800e-02,7.680e+00,?,?,?,?,yes,8.054e-02
100219A,1.825e-01,4.667e+00,-1.373e+00,5.858e+01,8.446e-07,1.040e+01,-1.200e-02,3.105e+01,7.440e+00,1.426e+03,no,6.400e+01,yes,1.423e-01
060714,6.404e-01,2.711e+00,-1.903e+00,?,4.298e-06,4.400e+01,5.600e-02,1.187e+02,8.780e+00,3.630e+02,yes,4.096e+00,yes,1.466e-01
090529,3.807e-02,2.625e+00,-8.031e-01,4.347e+01,1.097e-06,1.770e+01,7.000e-03,7.979e+01,8.870e+00,1.732e+03,no,6.400e+01,yes,2.002e-01
