@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@data
0.971,-1.688,22.74,1.458e-06,83.3,0.055,4.44,11.47,200,0.256,0.009347,'yes','yes','373172',0.947894412325695,0.105315515771508
1.755,-0.5261,36.02,4.109e-07,14.8,0.054,43.56,9.39,238,1.024,0.04162,'yes','no','420398',0.738503825850785,0.342472729738802
2.17,-0.7461,42.23,5.738e-07,24.6,0.068,7.68,?,?,?,0.08054,?,'yes','287364',0.333319343626499,0.279748336644843
4.667,-1.373,58.58,8.446e-07,10.4,-0.012,31.05,7.44,1426,64,0.1423,'no','yes','412982',0.497429959475994,0.360221581999213
0.5915,-1.74,51.26,8.752e-07,13.4,-0.237,17.38,9,?,8.192,0.1736,'yes','no','106709',0.854222085792571,0.585613349219784
0.937,-1.697,142.5,2.246e-06,43.5,0.136,5.92,19.85,927,1.024,0.05787,'yes','yes','229185',0.433440028922632,0.513964510057122
2.68,?,20.53,2.666e-07,6.4,0.035,39.9,6.78,345,4.096,0.1168,'yes','yes','213486',0.532236807746813,0.968457853188738
3.78,-0.3394,94.66,6.05e-07,16.4,0.02,18.54,7.96,363,3.072,0.1341,'yes','yes','213630',0.439301582286134,0.165202813921496
3.355,-1.939,?,3.285e-06,22.6,0.055,42,10.83,1510,64,0.1186,'no','no','252593',0.949459271505475,0.383226414443925
3.626,-1.178,192.9,7.448e-06,26.8,-0.002,330.7,?,?,?,0.1158,?,'yes','285654',0.254640481434762,0.503409355645999
1.14,-1.571,56.79,1.037e-06,10,-0.047,79.2,7.13,1485,64,0.2042,'no','yes','297114',0.0691698442678899,0.559389116242528
1.949,?,62.01,4.319e-06,43.7,0.096,94.6,8,?,1.024,0.09273,'yes','no','111063',0.236701481742784,0.55931169912219
3.24,-1.999,?,1.865e-06,18.2,0.015,153.6,10,?,1.024,0.1475,'yes','yes','111622',0.755943194963038,0.842127731069922
1.44,-1.217,50.86,1.408e-06,49,0.018,30.96,9,?,0.512,0.06291,'yes','yes','111529',0.783183045685291,0.605448060669005
1.416,-1.724,55.74,1.452e-06,16.1,-0.018,125.3,11.68,2763,64,0.2582,'no','yes','313116',0.0332832017447799,0.908292468870059
1.64,-1.126,227.8,2.232e-05,157.5,0.152,19.57,25.82,1604,1.024,0.02899,'yes','yes','313299',0.175355705665424,0.156516438117251
