@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
1.692,-1.733,63.32,3.959e-06,39.8,0.064,284.9,8.92,2444,112,0.2024,'no','yes','326115',0.0985194374807179,0.906095623737201,0.678995462367311,0.553115535760298
3.85,-0.981,129,3.254e-06,15.2,-0.032,81.77,8.61,647,12.16,0.1085,'yes','no','352648',0.117102008778602,0.301763635594398,0.599169043591246,0.527725030202419
4.109,-1.56,101.2,1.49e-05,24,0.055,228.5,8.83,554,26.88,0.1544,'yes','no','352190',0.79125216556713,0.336104353191331,0.324405424296856,0.441270906710997
2.296,4.996,29.64,4.757e-07,5.4,0.058,8.16,6.59,166,1.024,0.1251,'yes','yes','178750',0.37637300346978,0.448065398726612,0.0435426153708249,0.0952822300605476
0.6535,-0.864,24.18,3.512e-07,17.5,0.234,2.91,11,?,0.512,0.004345,'yes','yes','114753',0.193402486387640,0.661424115300179,0.478250897023827,0.014127402799204
2.711,-1.903,?,4.299e-06,44,0.056,118.7,8.78,363,4.096,0.1466,'yes','yes','219101',0.571108385920525,0.634807218564674,0.802227609558031,0.19949819939211
2.452,-1.292,151.5,1.173e-05,78.5,0.023,99.76,10.25,260,1.024,0.1286,'yes','yes','359711',0.104038419434801,0.644238509237766,0.299120150506496,0.402971617178991
2.641,-1.752,90.02,2.738e-06,36.6,0.117,43.89,17.85,4514,80,0.1535,'no','yes','302888',0.85074357688427,0.33934959792532,0.704425337025896,0.522494676522911
4.65,-0.8902,44.91,1.923e-07,13,0.041,10.68,8.16,397,4.096,0.1256,'yes','no','342121',0.358749872539192,0.493867314653471,0.316754328785464,0.455206527607515
2.77,-1.037,136.2,7.306e-06,147.6,0.031,33.48,8.08,115,0.256,0.05655,'yes','yes','337914',0.606206415221095,0.816177447326481,0.317957435036078,0.691439729882404
4.772,-1.652,64.52,2.075e-06,23.3,0.014,65.1,10.4,928,12.16,0.2276,'yes','no','421814',0.430647317320108,0.0231502084061503,0.273638451471925,0.44378557917662
2.58,?,51.81,1.574e-06,19.8,-0.041,66.55,?,?,?,0.1536,?,'no','334877',0.763574281707406,0.613331572152674,0.770009810104966,0.506398406578228
1.497,-1.671,105,9.043e-06,85.4,0.316,261.4,9.85,705,12.16,0.1261,'yes','no','263361',0.389347688294947,0.0775844026356936,0.310064183548093,0.856111330445856
0.845,-1.26,80.54,3.242e-06,12.6,0.042,139.1,8.57,387,4.096,0.1772,'yes','yes','316534',0.079027830157429,0.462325818138197,0.913778340443969,0.861491288524121
0.689,-1.084,107.6,5.551e-06,89.3,0.184,62.53,20.32,860,1.024,0.1408,'yes','yes','324895',0.135136653436348,0.0100866411812603,0.387878560228273,0.741878195200115
2.03,?,432.9,5.119e-07,20.5,0.062,15.28,8.51,242,1.024,0.1415,'yes','no','176453',0.586638741428033,0.0463524949736893,0.286921765189618,0.629218184622005
3.076,-1.232,200.4,3.625e-06,13,0.069,49.68,7.64,494,16.38,0.1011,'yes','yes','375246',0.539011909393594,0.666466433787718,0.800551652442664,0.777804694604129
0.422,-1.328,122.6,4.423e-06,19.9,0.129,88.2,7.61,1450,72,0.1445,'no','no','148833',0.249123830581084,0.931312713539228,0.609265813603997,0.971332440618426
1.71,-1.586,71.12,2.737e-06,18.6,0.027,14.25,8.05,206,1.024,0.1281,'yes','yes','148646',0.0282854684628546,0.663098461460322,0.315422562416643,0.280781735433266
2.1,-1.436,128,1.356e-05,80.3,0.058,254.3,7.56,187,1.024,0.1582,'yes','yes','336489',0.250993402674794,0.713367925956845,0.200229277601466,0.909883672604337
2.954,-1.705,107.8,4.23e-06,30.4,-0.028,108.6,10.52,600,4.096,0.2168,'yes','yes','275087',0.184605194721371,0.0430606498848647,0.512986913323402,0.910304737044498
0.348,4.998,23.88,3.608e-07,5.4,-0.046,20.46,14.21,4775,128,0.06881,'no','yes','207399',0.322542115813121,0.706028128275648,0.589451075997204,0.852036605821922
4.27,-1.407,89.43,4.836e-06,21.8,0.048,60.2,10,?,2.048,0.1477,'yes','no','117504',0.00194531655870378,0.514206621795893,0.79573889169842,0.0166545792017132
6.6,-1.4,95.32,2.878e-06,11.5,0.762,36,6.58,454,16.38,0.1455,'yes','no','177533',0.799675696063787,0.0141372629441321,0.697015926474705,0.9431871867273
3.53,-1.148,69.81,1.873e-06,27.4,-0.048,109.9,10.48,775,8.192,0.2178,'yes','no','177408',0.384141408838332,0.101745787076652,0.316017027013004,0.36159967398271
0.767,-1.74,113.1,1.859e-06,52.7,0.148,16.2,10.83,262,0.512,0.1073,'yes','yes','310613',0.839708794374019,0.38140637264587,0.872482565464452,0.440979861887172
0.5295,-1.353,35.31,5.909e-07,19.6,0.267,5.55,9.43,221,1.024,0.0256,'yes','yes','330856',0.736599802738056,0.572558603482321,0.872423680732027,0.696954696439207
2.5,-1.346,124.4,5.22e-06,13.5,0.119,112.2,6.76,419,12.16,0.1627,'yes','yes','280706',0.252182156313211,0.261752947932109,0.0798850455321372,0.0194915286265314
1.969,-1.303,105.2,5.613e-06,50.7,0.044,199.3,10,382,2.048,0.2061,'yes','yes','331093',0.529731922317296,0.546951562631875,0.0486684846691787,0.401885746512562
0.714,-1.088,92.03,4.432e-07,12.5,0.007,4.3,10.59,323,1.024,0.04889,'yes','no','174738',0.0175008981022984,0.637052946723998,0.717902995180339,0.431927708908916
3.35,-1.313,174.5,9.705e-06,57.9,0.014,453.2,7.59,196,1.024,0.1549,'yes','yes','319584',0.708279842045158,0.319284434663132,0.81566112744622,0.603491643210873
3.969,-1.375,111,2.609e-06,13.2,0.005,60.48,10.96,1019,12.16,0.1747,'yes','yes','148225',0.0351549105253071,0.235209200764075,0.813126674853265,0.805998607771471
0.624,?,25.97,4.777e-07,13.3,0.047,9.63,7.06,177,1.024,0.104,'yes','yes','419797',0.336662806104869,0.96795170637779,0.133168801432475,0.918421461712569
1.37,-1.772,?,4.936e-07,14.3,0.071,18.36,11.42,236,0.512,0.08047,'yes','yes','370846',0.908036266686395,0.192751582711935,0.447610001312569,0.130327581195161
4.813,?,268.9,5.319e-07,15.2,0.018,31.72,7.73,1502,64,0.1948,'no','no','414592',0.0957708160858601,0.541645464487374,0.642152087530121,0.152747211512178
1.314,-1.375,230.4,2.792e-05,273.8,0.118,83,8.08,110,0.256,0.03216,'yes','yes','239899',0.755260735517368,0.321209907531738,0.860640465747565,0.882142930757254
1.159,-1.159,223.1,1.387e-05,85.7,0.133,26.78,8.76,219,1.024,0.06414,'yes','yes','240766',0.404309136560187,0.752917477162555,0.711320478934795,0.347036030609161
3,-1.613,130.1,8.995e-06,84.9,0.071,267.5,11.48,332,1.024,0.1213,'yes','yes','357512',0.155772286234424,0.897135597653687,0.0233688962180167,0.936854080529884
6.7,-0.4048,98.2,7.597e-07,16.7,0.038,8.19,9.39,200,1.024,0.0952,'yes','no','324561',0.206679763272405,0.0626931476872414,0.256081890780479,0.00652060098946095
1.489,-1.546,146.4,1.363e-05,80.6,0.064,103.2,10.8,295,1.024,0.09424,'yes','yes','205851',0.440513509092852,0.491824521450326,0.981611647643149,0.0137864288408309
2.625,-0.8031,43.47,1.098e-06,17.7,0.007,79.79,8.87,1732,64,0.2002,'no','yes','353540',0.502132932888344,0.180395323783159,0.964668446686119,0.245276374509558
4.41,-1.008,74.01,6.762e-07,18,-0.015,8.4,9.99,269,1.024,0.1402,'yes','yes','192059',0.91671374766156,0.737367824651301,0.576817004941404,0.454214137047529
5.11,-0.6852,76.95,1.216e-06,16.5,-0.001,74.1,13.36,3110,64,0.228,'no','yes','211117',0.717697811080143,0.890633880160749,0.805180759634823,0.545565258245915
2.737,-1.696,?,9.22e-07,11.8,0.073,192.9,?,?,?,0.1227,?,'yes','359530',0.0238289309199899,0.242002091603354,0.769666178151965,0.872157044475898
1.8,-0.9885,97.7,6.514e-07,30.1,0.028,7.5,8.22,161,0.512,0.1166,'yes','yes','217805',0.996419438626617,0.562866492895409,0.359002602286637,0.936571531696245
3.425,-0.6565,60.94,1.88e-06,20.1,0.024,75.14,8.58,380,4.096,0.2012,'yes','yes','217704',0.100402553100139,0.697291457559913,0.461958547821268,0.599833130137995
2.427,?,29.18,2.689e-06,27.5,0.005,361.9,7.4,215,1.024,0.07031,'yes','yes','305288',0.807133505819365,0.471712643513456,0.589988646795973,0.59863454871811
0.383,-1.121,92.02,5.261e-07,13.8,0.026,2.2,8.54,201,1.024,0.03863,'yes','yes','299787',0.112934122094885,0.845448055071756,0.12032400816679,0.752449372783303
0.836,-1.407,122.6,4.407e-06,48.1,0.23,51,10.03,201,0.512,0.1287,'yes','yes','271019',0.502448905259371,0.66043733083643,0.662904004566371,0.660120619926602
2.198,-0.992,177.9,2.659e-06,60,0.024,4.56,22.78,1485,1.024,0.06027,'yes','yes','156467',0.0469567538239062,0.393668452044949,0.968609214993194,0.534683768171817
1.23,-1.71,58.13,9.673e-07,17.2,-0.032,30.25,9.84,288,1.024,0.139,'yes','yes','316204',0.229116292437539,0.620553461369127,0.571427566697821,0.63382604601793
1.261,-0.957,588.8,0.0001146,330.4,0.118,74.9,15.62,384,1.024,0.03095,'yes','yes','232683',0.713367578573525,0.970491230953485,0.314452164573595,0.173621653579175
2.374,-1.668,65.06,2.784e-06,22.8,0.193,104,8.01,259,2.048,0.1976,'yes','yes','323898',0.712557624327019,0.81899409997277,0.593270536046475,0.824700820958242
2.692,?,26.85,1.103e-06,15.9,0.024,187.2,9.48,455,4.096,0.1518,'yes','yes','295670',0.82147615076974,0.406777241034433,0.671510955318809,0.20358824217692
3.3,-1.794,56.53,8.902e-07,37.5,-0.011,6.54,8.2,231,1.024,0.1103,'yes','no','232339',0.0949424121063203,0.907137991162017,0.903371180640534,0.459136116318405
0.703,-0.9957,82.48,1.881e-06,34.2,0.13,171,8.68,162,0.512,0.1434,'yes','yes','228006',0.534988462924957,0.49999603908509,0.674527255818248,0.389430316863582
2.69,-1.221,72.27,2.869e-06,70,0.071,59.5,10.63,213,0.512,0.08549,'yes','yes','313087',0.333926281658933,0.949428912019357,0.729328303132206,0.568822027882561
6.29,-1.172,322.6,1.223e-05,38.4,0.008,197.2,13.26,2820,64,0.1486,'no','no','153514',0.460868366993964,0.539547386812046,0.796009461628273,0.784617711557075
3.35,-1.713,52.96,6.151e-07,12.5,-0.024,10.8,9.29,311,2.048,0.1556,'yes','yes','154112',0.505544005893171,0.494028318906203,0.372299472102895,0.117761825211346
1.1,-1.19,69,3.703e-06,64.4,0.095,7.04,23,1450,1.024,0.01725,'yes','yes','309111',0.948768898379058,0.0753438251558691,0.134918502299115,0.929418532876298
2.433,-1.56,109.2,5.881e-06,74.8,0.066,46.62,9.06,209,0.512,0.0954,'yes','yes','309096',0.9675249166321,0.962674766778946,0.714401080971584,0.737786274403334
0.606,-0.83,81.58,1.861e-05,339.9,0.049,9.1,18,?,0.064,0.01235,'yes','yes','130088',0.489309588912874,0.614883925300092,0.0237771251704544,0.0636689767707139
0.4428,-0.4666,33.45,2.032e-07,8.1,-0.054,8.37,9.39,437,4.096,0.05254,'yes','yes','209755',0.0187180554494262,0.394179222872481,0.987701143836603,0.558803957421333
1.545,?,19.02,5.814e-08,8.3,0.205,2.97,?,?,?,0.02016,?,'yes','312047',0.518350365338847,0.396318711107597,0.379613888449967,0.337602335494012
0.783,-1.737,74.31,3.802e-06,15.1,0.483,205.9,7,1260,64,0.2905,'no','no','179968',0.978370781522244,0.231732348678634,0.634225235553458,0.509302900871262
4.045,-1.184,87.03,1.044e-06,45.1,0.037,6.06,10.17,199,0.512,0.1164,'yes','yes','180455',0.986756135011092,0.606491140788421,0.485438228119165,0.0211748918518424
3.221,-1.876,?,1.846e-06,23.5,-0.021,295.6,9.05,179,0.512,0.1812,'yes','yes','211957',0.893174465280026,0.521026293979958,0.957959541818127,0.241417709272355
2.615,-1.165,286.6,8.688e-06,41.4,0.021,239.7,8.38,234,1.024,0.08937,'yes','yes','151207',0.397195826051757,0.995655993698165,0.162563900230452,0.482503326842561
5.6,-0.82,70.9,1.318e-06,43.1,-0.022,23.03,12.06,220,0.256,0.1242,'yes','no','231362',0.265422054799274,0.558662998955697,0.924165852833539,0.994522279594094
3.2,?,23.71,2.477e-07,17,0.162,7.05,11.6,371,1.024,0.02986,'yes','no','231231',0.563704071799293,0.265818553743884,0.986502574989572,0.988247162662446
2.346,1.229,51.84,1.558e-06,14.1,0.05,4.9,11.47,264,2.048,0.08455,'yes','yes','163136',0.804013319080696,0.64622521866113,0.472802148666233,0.848068667575717
0.08,-0.2721,52.99,1.671e-07,7.3,0.011,8.32,9.84,527,4.096,0.1338,'yes','no','163170',0.160498555051163,0.133137167897075,0.99166937195696,0.4352178175468
4.349,-1.219,77.24,1.915e-06,11.6,0.165,45.6,7.51,1323,64,0.1347,'no','no','301981',0.370508978608996,0.914552735164762,0.801464766962454,0.81397547526285
0.297,-1.216,108.9,1.031e-06,12.5,0.235,34.44,8.16,533,8.192,0.1019,'yes','no','152113',0.409786059753969,0.295164620503783,0.197615328943357,0.449430128093809
0.97,-0.275,30.46,5.423e-07,12.5,0.16,161.3,10.8,2494,64,0.1994,'no','yes','276205',0.954151334706694,0.306662499671802,0.86407066998072,0.455410891212523
0.49,?,42.51,1.239e-05,50.7,0.036,9.57,17.95,660,1.024,0.004874,'yes','yes','377179',0.947731166379526,0.690369448391721,0.488679344533011,0.804926137672737
1.24,-0.464,78.25,7.75e-06,63.3,0.168,126.4,6.74,156,1.024,0.107,'yes','no','370791',0.915040659718215,0.841129108332098,0.125784058356658,0.631063645705581
3.082,-1.014,137.5,3.684e-06,50.7,0.02,102.6,14.77,490,1.024,0.172,'yes','yes','213823',0.67530584265478,0.980891672195867,0.179829519242048,0.510944627923891
2.45,-1.82,?,3.96e-07,7.3,0.014,14.72,7.15,1465,64,0.1593,'no','no','286809',0.671192665817216,0.00289666093885899,0.922578147379681,0.309463882353157
0.971,-1.688,22.74,1.458e-06,83.3,0.055,4.44,11.47,200,0.256,0.009347,'yes','yes','373172',0.764614319195971,0.0697624133899808,0.799686989979818,0.0511165061034262
1.755,-0.5261,36.02,4.109e-07,14.8,0.054,43.56,9.39,238,1.024,0.04162,'yes','no','420398',0.265374053502455,0.806822046404704,0.865133638959378,0.272154687670991
2.17,-0.7461,42.23,5.738e-07,24.6,0.068,7.68,?,?,?,0.08054,?,'yes','287364',0.900160687277094,0.524497252888978,0.135538533097133,0.854642986319959
4.667,-1.373,58.58,8.446e-07,10.4,-0.012,31.05,7.44,1426,64,0.1423,'no','yes','412982',0.361712137702852,0.86942683486268,0.0748746560420841,0.64725424000062
0.5915,-1.74,51.26,8.752e-07,13.4,-0.237,17.38,9,?,8.192,0.1736,'yes','no','106709',0.853780345758423,0.195897767553106,0.352947320323437,0.317600537091494
0.937,-1.697,142.5,2.246e-06,43.5,0.136,5.92,19.85,927,1.024,0.05787,'yes','yes','229185',0.304841002449393,0.947934778174385,0.0212029374670237,0.737319260137156
2.68,?,20.53,2.666e-07,6.4,0.035,39.9,6.78,345,4.096,0.1168,'yes','yes','213486',0.961270526517183,0.0145421708002687,0.100657934788615,0.609027466736734
3.78,-0.3394,94.66,6.05e-07,16.4,0.02,18.54,7.96,363,3.072,0.1341,'yes','yes','213630',0.171689801383764,0.591464941157028,0.66966166999191,0.452657537069172
3.355,-1.939,?,3.285e-06,22.6,0.055,42,10.83,1510,64,0.1186,'no','no','252593',0.814509437186643,0.78471683873795,0.473680443596095,0.412296498892829
3.626,-1.178,192.9,7.448e-06,26.8,-0.002,330.7,?,?,?,0.1158,?,'yes','285654',0.085287281544879,0.960015624994412,0.361154723213986,0.664334158645943
1.14,-1.571,56.79,1.037e-06,10,-0.047,79.2,7.13,1485,64,0.2042,'no','yes','297114',0.906070390017703,0.825166795169935,0.239528242498636,0.625295889331028
1.949,?,62.01,4.319e-06,43.7,0.096,94.6,8,?,1.024,0.09273,'yes','no','111063',0.717294986126944,0.344118928303942,0.188961664447561,0.132497930200770
3.24,-1.999,?,1.865e-06,18.2,0.015,153.6,10,?,1.024,0.1475,'yes','yes','111622',0.405602964339778,0.00380552071146667,0.459511318942532,0.152991285081953
1.44,-1.217,50.86,1.408e-06,49,0.018,30.96,9,?,0.512,0.06291,'yes','yes','111529',0.223157771397382,0.565925941802561,0.354024254251271,0.0947908898815513
1.416,-1.724,55.74,1.452e-06,16.1,-0.018,125.3,11.68,2763,64,0.2582,'no','yes','313116',0.338373092468828,0.0795560013502836,0.68608075985685,0.742463792208582
1.64,-1.126,227.8,2.232e-05,157.5,0.152,19.57,25.82,1604,1.024,0.02899,'yes','yes','313299',0.689348649000749,0.168738777749240,0.484595705522224,0.639074435690418
3.036,-1.165,860.3,5.119e-05,123,0.142,83.66,17.87,741,1.024,0.0283,'yes','yes','313417',0.28892714693211,0.442635840503499,0.211485512321815,0.592138850362971
0.54,-1.294,141.3,0.0001477,719.8,0.097,115.2,22.57,1097,1.024,0.02612,'yes','yes','355083',0.678694546688348,0.568581003462896,0.0110742594115436,0.842965880408883
3.038,-1.312,70.74,4.317e-06,42,0.018,275.6,17.95,6719,128,0.2853,'no','yes','332851',0.337456732057035,0.4767525435891,0.713755311444402,0.638434121152386
2.352,-1.526,82.28,2.496e-06,25.9,-0.003,47.7,10.23,491,3.072,0.2087,'yes','yes','255445',0.621971589513123,0.701100149424747,0.871385424397886,0.883099801838398
4.9,-1.413,88.2,4.383e-06,22.3,0.027,229.9,10.54,2188,64,0.3083,'no','no','209352',0.932260790839791,0.423517181305215,0.48860405315645,0.132507286034524
0.82,-1.004,207.5,3.337e-05,262.1,0.245,21.2,?,?,?,0.02026,?,'yes','278854',0.185918194707483,0.0696820695884526,0.343180644791573,0.496424953453243
3.848,-1.433,129.5,3.342e-06,16,0.019,169.1,11.49,2138,64,0.2184,'no','yes','332931',0.349781164899468,0.608220594003797,0.370713931508362,0.251946379430592
2.31,5,31.03,1.994e-07,8.6,0.152,3.55,8.48,2083,64,0.1016,'no','yes','278693',0.246396045200527,0.114173236070201,0.339288749266416,0.804269523592666
3.91,-1.474,96.48,1.422e-05,42.8,0.072,369.9,8.42,204,1.024,0.1753,'yes','no','180977',0.584043219685555,0.288313127821311,0.97890658583492,0.238679867703468
3.44,-0.6588,144.3,2.573e-06,15.8,0.168,32.39,8.14,361,4.096,0.07195,'yes','no','238174',0.091765385819599,0.0402171129826456,0.345671350834891,0.264856041641906
0.0331,-0.8437,41,7.854e-07,6.3,0.39,128,7.84,2111,80,0.2715,'no','yes','191157',0.314497321145609,0.902069712989032,0.318648728076369,0.764188189059496
0.696,-0.6803,46.37,1.285e-06,13.7,-0.079,113.2,10.01,1837,88,0.2169,'no','yes','359951',0.694175846641883,0.883028600132093,0.737011335324496,0.106915611075237
2.512,-0.5208,133.8,7.885e-06,24.4,0.026,19.38,9.79,241,4.096,0.08966,'yes','yes','335105',0.599011311074719,0.0886812482494861,0.463619030313566,0.662119855638593
1.165,-0.4458,60.39,5.672e-07,10.3,0.182,52.48,7.29,187,1.408,0.1637,'yes','no','259714',0.993063199333847,0.585072511341423,0.079869604902342,0.0748698317911476
1.608,-1.387,172.3,8.704e-06,52.4,0.195,57.97,8.16,163,1.024,0.1262,'yes','yes','349510',0.288656983058900,0.392121812328696,0.234659930923954,0.61187882674858
2.04,0.0691,54.89,3.424e-07,10.4,0.012,11.31,9.07,384,4.096,0.1416,'yes','yes','282003',0.0429266940336674,0.248119718860835,0.770378531189635,0.344254062278196
2.752,-1.402,59.35,2.842e-06,68.4,0.04,39.96,9.18,243,1.024,0.09921,'yes','yes','374210',0.804991072276607,0.876458034850657,0.252650728216395,0.279590270249173
0.54,-1.795,58,4.322e-06,44.7,0.076,119.5,7.13,243,4.096,0.1745,'yes','yes','221755',0.597000873880461,0.879730502376333,0.487129215383902,0.826856062049046
1.71,-1.243,140,5.175e-06,55.8,0.079,39,17.7,520,1.024,0.1039,'yes','yes','373458',0.0801232710946351,0.598099651979282,0.811052644858137,0.88920760131441
5.3,-0.4337,58.16,8.082e-07,6.8,0.005,27.54,?,?,?,0.2135,?,'no','150314',0.0395783283747733,0.642966071609408,0.135371472453699,0.266627932200208
0.937,-1.089,1382,0.0004112,725.4,0.053,147.3,22.5,1909,1.024,0.01697,'yes','yes','306757',0.524758058600128,0.0428971094079316,0.374680824810639,0.0737521343398839
1.95,-1.03,158.8,5.376e-06,60.5,0.073,32.88,15.1,459,1.024,0.09712,'yes','yes','306778',0.551736928988248,0.196224103914574,0.585596541408449,0.579864631406963
1.51,-1.415,131.7,4.531e-06,45.7,0.041,30.24,12.69,332,1.024,0.1255,'yes','yes','208169',0.87169514526613,0.267541609006003,0.0350767215713859,0.309148797998205
0.542,-1.591,68.19,2.382e-05,295.2,0.592,66.33,18.67,813,1.024,0.04883,'yes','yes','425151',0.215906299185008,0.309156488627195,0.684685957385227,0.615722702816129
8.1,-0.7002,50.55,6.665e-07,31.3,0.071,12.36,8.16,203,1.024,0.1365,'yes','no','350184',0.632139953784645,0.979394822148606,0.490956653375179,0.520209295907989
0.544,-1.078,126.1,2.837e-05,131.7,0.195,50.28,23.3,3348,1.024,0.009013,'yes','yes','350311',0.8035035780631,0.94023227156140,0.787120593246073,0.357884725555778
1.063,-1.284,76.77,3.826e-06,29.5,0.219,15.21,9.31,168,1.024,0.03324,'yes','yes','378559',0.918169929645956,0.837346950778738,0.535155212739483,0.415779668139294
0.92,-1.329,71.79,1.427e-06,35.8,0.073,64.18,12.12,225,0.128,0.07598,'yes','yes','284856',0.858214075444266,0.960954590933397,0.596797486301512,0.534861680818722
