@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
0.5295,-1.3529,?,35.3059,5.9087e-07,3.431e-05,2.1188,19.6,0.267,5.55,9.43,221,1.024,0.0255989,'yes','yes','330856',0.976442882791162,0.768673121230677,0.420897332951427,0.951687537133694
2.4996,-1.3456,?,124.439,5.22e-06,?,1.8739,13.5,?,112.21,6.76,419,12.16,0.162741,'yes','yes','280706',0.917373745469376,0.29414308257401,0.235688846092671,0.211342025315389
1.9685,-1.3028,?,?,5.6132e-06,4.207e-05,2.0758,50.7,?,199.32,10,382,2.048,0.206132,'yes','yes','331093',0.676910993177444,0.516385913826525,0.361757719190791,0.410756052704528
0.714,-1.0884,?,92.025,4.4323e-07,?,1.652,12.5,?,4.3,10.59,323,1.024,0.0488872,'yes','no','174738',0.433329766616225,0.0958726475946605,0.113533816067502,0.680052238982171
3.35,-1.3129,?,174.457,9.7053e-06,4.212e-05,2.1127,57.9,?,453.15,7.59,196,1.024,0.154869,'yes','yes','319584',0.86172566586174,0.395059152971953,0.480489324545488,0.0649187075905502
3.969,-1.3747,?,110.99,2.6093e-06,0.0002541,1.6063,13.2,?,60.48,10.96,1019,12.16,0.174661,'yes','yes','148225',0.319510047556832,0.633058188250288,0.0221448969095945,0.854360518045723
0.624,?,-2.0605,25.9683,4.777e-07,1.147e-05,1.9581,13.3,?,9.63,7.06,177,1.024,0.103983,'yes','yes','419797',0.993573542451486,0.540023342939094,0.884856624761596,0.918194571509957
1.37,-1.7718,?,?,4.936e-07,2.256e-05,2.1949,14.3,?,18.36,11.42,236,0.512,0.0804666,'yes','yes','370846',0.922401219373569,0.969998503802344,0.90238480316475,0.620925044175237
1.063,-1.284,?,?,3.8255e-06,5.425e-05,2.1102,29.5,0.219,15.21,9.31,168,1.024,0.0332424,'yes','yes','378559',0.339382698992267,0.144010286778212,0.505507204914466,0.936934606870636
0.98,?,-2.1079,42.0614,4.7308e-07,?,2.2627,7.5,?,22.4,7.17,374,4.096,0.104866,'yes','no','293707',0.543860114645213,0.861481724306941,0.593307560309768,0.129890846787021
4.813,?,-2.0298,268.926,5.3188e-07,1.327e-05,2.0006,15.2,?,31.72,7.73,1502,64,0.194801,'no','no','414592',0.134751826757565,0.349898628890514,0.0230323339346796,0.536619952414185
1.314,-1.3748,?,230.426,2.792e-05,8.25e-05,1.9035,273.8,0.118,83,8.08,110,0.256,0.0321642,'yes','yes','239899',0.460009963717312,0.216662882361561,0.67468874133192,0.586462506558746
1.159,-1.1593,?,223.072,1.3868e-05,6.159e-05,1.8631,85.7,0.133,26.78,8.76,219,1.024,0.064142,'yes','yes','240766',0.36759855481796,0.765702819917351,0.301926457090303,0.21523271384649
3,-1.6129,?,130.059,8.9949e-06,3.213e-05,2.1317,84.9,?,267.54,11.48,332,1.024,0.121287,'yes','yes','357512',0.793798813363537,0.358745154226199,0.329238352132961,0.79940954176709
6.7,-0.4048,?,?,7.5965e-07,?,1.7619,16.7,?,8.19,9.39,200,1.024,0.0952019,'yes','no','324561',0.0887795069720596,0.934677280951291,0.228720287792385,0.954405126161873
1.489,-1.5457,?,146.355,1.3632e-05,?,1.9074,80.6,?,103.24,10.8,295,1.024,0.0942382,'yes','yes','205851',0.882059287745506,0.506665922235698,0.375905021326616,0.84216358489357
2.625,-0.8031,?,?,1.0975e-06,8.603e-06,2.1515,17.7,?,79.79,8.87,1732,64,0.200246,'no','yes','353540',0.731719047529623,0.633655765559524,0.761231916490942,0.235016566002741
4.41,-1.008,?,?,6.7621e-07,?,2.0258,18,-0.015,8.4,9.99,269,1.024,0.140174,'yes','yes','192059',0.828959784237668,0.26091935695149,0.371128634316847,0.0863173827528954
5.11,-0.6852,?,?,1.2156e-06,?,2.0031,16.5,-0.001,74.1,13.36,3110,64,0.227997,'no','yes','211117',0.359689175151289,0.710431646090001,0.167593625141308,0.450513595016673
2.737,-1.6963,?,?,?,?,2.0244,11.8,?,192.92,?,?,?,0.122711,?,'yes','359530',0.444756487151608,0.939351366832852,0.0170365583617240,0.401533477939665
1.8,-0.9885,?,?,6.5142e-07,2.37e-05,2.1617,30.1,?,7.5,8.22,161,0.512,0.116582,'yes','yes','217805',0.881430520443246,0.547361803706735,0.247971474891528,0.0415379535406828
3.425,-0.6565,?,?,?,?,2.0564,20.1,?,75.14,8.58,380,4.096,0.201207,'yes','yes','217704',0.56840636394918,0.776158299529925,0.206889702938497,0.355798526201397
2.4266,?,-2.3527,29.1842,2.6894e-06,4.512e-05,2.0252,27.5,?,361.92,7.4,215,1.024,0.0703095,'yes','yes','305288',0.609700498171151,0.916235048789531,0.603136549470946,0.0362714566290379
0.383,-1.1211,?,92.0247,5.2607e-07,?,?,13.8,?,2.2,8.54,201,1.024,0.0386268,'yes','yes','299787',0.863153014797717,0.514950823970139,0.520470580318943,0.261428465601057
0.617,-1.5818,?,117.696,1.7059e-05,?,?,24.9,?,254.74,14.22,1928,64,0.189871,'no','no','282066',0.338753056945279,0.0303628733381629,0.765009496128187,0.13547332608141
2.198,-0.992,?,?,2.6587e-06,3.18e-05,2.1811,60,?,4.56,22.78,1485,1.024,0.0602667,'yes','yes','156467',0.265551681397483,0.509751440724358,0.536410364322364,0.890397184761241
1.23,-1.7095,?,58.1324,9.6733e-07,?,1.7887,17.2,-0.032,30.25,9.84,288,1.024,0.139003,'yes','yes','316204',0.552482038969174,0.155160441063344,0.27460896410048,0.454605803126469
1.261,-0.957,?,588.845,0.00011459,2.269e-05,2.122,330.4,0.118,74.9,15.62,384,1.024,0.0309487,'yes','yes','232683',0.89050978817977,0.32853594282642,0.935919091803953,0.791772229131311
2.374,-1.6678,?,65.0574,2.7841e-06,5.422e-05,1.8992,22.8,0.193,103.97,8.01,259,2.048,0.197561,'yes','yes','323898',0.851721149636433,0.430962258018553,0.331333305221051,0.0607484504580498
2.692,?,-2.268,26.845,1.103e-06,?,1.9224,15.9,?,187.18,9.48,455,4.096,0.151807,'yes','yes','295670',0.62484867637977,0.510347434552386,0.365995676256716,0.400128877488896
3.3,-1.7938,?,56.5312,8.9016e-07,?,1.9826,37.5,-0.011,6.54,8.2,231,1.024,0.110285,'yes','no','232339',0.992207962786779,0.125933725852519,0.280764519469813,0.991354026598856
0.703,-0.9957,?,?,1.8806e-06,3.161e-05,2.1399,34.2,?,171.04,8.68,162,0.512,0.143441,'yes','yes','228006',0.427919617621228,0.450450968928635,0.283818779746071,0.295963733689860
2.69,-1.2209,?,?,2.8691e-06,?,2.2763,70,?,59.5,10.63,213,0.512,0.0854879,'yes','yes','313087',0.360029730247334,0.0708194400649518,0.705285085598007,0.527058713836595
6.29,-1.1718,?,322.601,1.2227e-05,0.0001329,1.8576,38.4,?,197.2,13.26,2820,64,0.148584,'no','no','153514',0.631568948039785,0.465225667227060,0.507498400053009,0.520598220638931
3.35,-1.7132,?,52.9634,6.1513e-07,?,2.905,12.5,-0.024,10.8,9.29,311,2.048,0.155611,'yes','yes','154112',0.938801625045016,0.36368502676487,0.0417139739729464,0.444724419852719
1.1,-1.1896,?,69.0006,3.703e-06,9.997e-05,2.0197,64.4,0.095,7.04,23,1450,1.024,0.0172518,'yes','yes','309111',0.221545732580125,0.668617256684229,0.968176598893479,0.608838209882379
2.433,-1.56,?,109.165,5.8812e-06,?,2.1677,74.8,?,46.62,9.06,209,0.512,0.0953979,'yes','yes','309096',0.429235582007095,0.722521473420784,0.278705037431791,0.548310087295249
0.606,-0.83,?,81.5773,1.8614e-05,1.402e-05,1.9805,339.9,?,9.1,18,?,0.064,0.0123453,'yes','yes','130088',0.751856067450717,0.598655506735668,0.923335312167183,0.146956748329103
0.4428,-0.4666,?,33.4456,?,8.364e-06,2.7283,8.1,-0.054,8.37,9.39,437,4.096,0.052543,'yes','yes','209755',0.733176312409341,0.332993051270023,0.183940137736499,0.258653078693897
1.545,?,-3.3547,19.0219,5.8137e-08,?,2.2331,8.3,?,2.97,?,?,?,0.0201623,?,'yes','312047',0.558696049498394,0.811599105363712,0.360905842855573,0.913068692432716
0.783,-1.7367,?,74.3109,3.8019e-06,0.0001085,2.7826,15.1,0.483,205.92,7,1260,64,0.290466,'no','no','179968',0.603077319683507,0.655187646392733,0.231006397400051,0.626020866911858
4.045,-1.1843,?,?,1.0442e-06,5.761e-06,1.8758,45.1,?,6.06,10.17,199,0.512,0.11637,'yes','yes','180455',0.92537600826472,0.0148922377265990,0.484342243056744,0.623163717566058
0.947,-1.4663,?,57.3167,5.1358e-06,?,2.0516,136.3,?,34.68,0,0,0,0.0341254,'yes','no','293795',0.710375462193042,0.99198317504488,0.857979874825105,0.0349732630420476
3.221,-1.8763,?,?,1.8464e-06,1.082e-05,1.9953,23.5,-0.021,295.55,9.05,179,0.512,0.181242,'yes','yes','211957',0.649697236251086,0.734098459826782,0.96202951692976,0.691808113828301
2.6147,-1.1652,?,286.555,8.6884e-06,9.562e-05,1.9662,41.4,?,239.68,8.38,234,1.024,0.0893744,'yes','yes','151207',0.16953447740525,0.469758727122098,0.830394614022225,0.07091676723212
5.6,-0.82,?,70.8974,1.3183e-06,?,1.959,43.1,-0.022,23.03,12.06,220,0.256,0.124197,'yes','no','231362',0.571891929022968,0.546777700306848,0.940914400853217,0.639037629356608
3.2,?,-2.482,23.707,2.4765e-07,?,2.2036,17,?,7.05,11.6,371,1.024,0.0298625,'yes','no','231231',0.428283448098227,0.399870791472495,0.625925407744944,0.480417587794363
2.346,?,-2,?,1.5581e-06,6.881e-05,2.0518,14.1,?,4.9,11.47,264,2.048,0.0845535,'yes','yes','163136',0.575900791678578,0.430001966422424,0.527404385618865,0.888938579475507
0.08,-0.2721,?,?,1.6713e-07,?,1.981,7.3,?,8.32,9.84,527,4.096,0.133826,'yes','no','163170',0.392738540424034,0.0156381854321808,0.847405885346234,0.759810985531658
4.349,-1.219,?,77.2381,1.9154e-06,?,2.1199,11.6,?,45.6,7.51,1323,64,0.134745,'no','no','301981',0.404557781526819,0.823323301039636,0.546364822424948,0.301499103195965
1.55,-1.016,?,?,6.9914e-06,4.785e-05,2.202,62.6,?,50.96,15.07,525,1.024,0.123815,'yes','yes','163438',0.359842262696475,0.901119933696464,0.871444766409695,0.434905771398917
0.97,-0.275,?,?,5.4231e-07,?,2.3829,12.5,?,161.25,10.8,2494,64,0.199427,'no','yes','276205',0.813054538797587,0.536777421832085,0.109388551907614,0.603651002980769
1.605,-1.3081,?,240.469,1.6687e-05,5.896e-05,1.9889,79.7,?,148.32,?,?,?,0.0806349,?,'no','292934',0.961291988845915,0.583432049490511,0.800779167795554,0.200745990267023
0.49,?,-2.1326,42.5112,1.2386e-05,4.086e-05,1.8144,50.7,?,9.57,17.95,660,1.024,0.00487404,'yes','yes','377179',0.56438272446394,0.190106300637126,0.529135868651792,0.701405606931075
