@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
2.4996,-1.3456,?,124.439,5.22e-06,?,1.8739,13.5,?,112.21,6.76,419,12.16,0.162741,'yes','yes','280706',0.085940463701263,0.879978662356734,0.305430233478546,0.75319360382855,0.565643622074276,0.151775875827298,0.00851090275682509,0.407912324881181
1.9685,-1.3028,?,?,5.6132e-06,4.207e-05,2.0758,50.7,?,199.32,10,382,2.048,0.206132,'yes','yes','331093',0.283877009758726,0.142018203390762,0.757586524588987,0.118416191311553,0.892780298599973,0.224716341821477,0.665231622988358,0.54095891606994
0.714,-1.0884,?,92.025,4.4323e-07,?,1.652,12.5,?,4.3,10.59,323,1.024,0.0488872,'yes','no','174738',0.727649422595277,0.529157285578549,0.779044234659523,0.212335837539285,0.70034186844714,0.269018006511033,0.0405077247414738,0.331841692095622
3.35,-1.3129,?,174.457,9.7053e-06,4.212e-05,2.1127,57.9,?,453.15,7.59,196,1.024,0.154869,'yes','yes','319584',0.344572117784992,0.689623503945768,0.281465734587982,0.236088495003060,0.650365769397467,0.906817795941606,0.106768460478634,0.0288861878216267
3.969,-1.3747,?,110.99,2.6093e-06,0.0002541,1.6063,13.2,?,60.48,10.96,1019,12.16,0.174661,'yes','yes','148225',0.362427528016269,0.566801423905417,0.777245422825217,0.577515460783616,0.718256034888327,0.132314367918298,0.524370295694098,0.375770507147536
0.624,?,-2.0605,25.9683,4.777e-07,1.147e-05,1.9581,13.3,?,9.63,7.06,177,1.024,0.103983,'yes','yes','419797',0.353823857149109,0.978738256031647,0.520431981887668,0.577599863754585,0.438880931818858,0.184389781439677,0.911437287228182,0.0631215490866452
1.37,-1.7718,?,?,4.936e-07,2.256e-05,2.1949,14.3,?,18.36,11.42,236,0.512,0.0804666,'yes','yes','370846',0.915985905565321,0.0487585165537894,0.912794846808538,0.249875386245549,0.0541915176436305,0.348131741629913,0.194731926545501,0.575362018775195
1.063,-1.284,?,?,3.8255e-06,5.425e-05,2.1102,29.5,0.219,15.21,9.31,168,1.024,0.0332424,'yes','yes','378559',0.217103487346321,0.436425618827343,0.71098535740748,0.938089317874983,0.604853122727945,0.075430179014802,0.103363356320187,0.848693358479068
0.98,?,-2.1079,42.0614,4.7308e-07,?,2.2627,7.5,?,22.4,7.17,374,4.096,0.104866,'yes','no','293707',0.182050166884437,0.00878891907632351,0.314988944912329,0.7153159303125,0.82922293478623,0.117542630527169,0.556876580230892,0.823538246564567
4.813,?,-2.0298,268.926,5.3188e-07,1.327e-05,2.0006,15.2,?,31.72,7.73,1502,64,0.194801,'no','no','414592',0.175425503170118,0.968916659010574,0.607496711192653,0.89588612713851,0.595090077957138,0.528655894799158,0.268613719847053,0.901975932065398
