@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
0.689,-1.0842,?,?,?,2.176e-05,1.9171,89.3,?,?,20.32,860,1.024,0.0511773,0.140844,0.319149,0.585781,0.907877,'yes','yes',0.591241002315655,0.938059186097234,0.507542456733063,0.58922519418411,0.609898313181475,0.174166555050761,0.658478379482403,0.354157665744424,0.105771365808323,0.86754638212733
2.03,?,-2.0098,?,?,2.395e-05,2.1024,20.5,?,?,8.51,242,1.024,0.0544613,0.141504,0.306831,0.547973,0.871854,'yes','no',0.81541378190741,0.830655213911086,0.308870556298643,0.69927944173105,0.42583321291022,0.67730658617802,0.341677174670622,0.0129294656217098,0.232157608959824,0.094166123541072
2.145,-1.0514,?,?,?,3.638e-05,1.7495,100.3,?,?,22.19,1245,0.512,0.00907489,0.0362426,0.114982,0.30185,0.731597,'yes','no',0.282278372440487,0.131552639417350,0.101397324120626,0.166547049302608,0.568003536900505,0.935721683315933,0.331081934040412,0.50442795548588,0.953406519256532,0.784786104457453
0.422,-1.3283,?,?,?,5.242e-05,1.9686,19.9,?,?,7.61,1450,72,0.0512637,0.144508,0.328505,0.591575,0.90218,'no','no',0.759054080117494,0.357055909698829,0.059589249547571,0.560435267863795,0.0978369291406125,0.262134448159486,0.406388926319778,0.00757726654410362,0.4870287287049,0.636957272654399
1.71,-1.5861,?,?,?,3.886e-05,1.8295,18.6,?,?,8.05,206,1.024,0.0443109,0.128117,0.298919,0.556056,0.884128,'yes','yes',0.0814171358942986,0.0697595882229507,0.0227138616610318,0.623317704536021,0.776363969547674,0.866066250018775,0.245913138845935,0.712324081687257,0.477228130912408,0.864960582694039
2.1,-1.4359,?,?,?,6.028e-05,2.0223,80.3,?,?,7.56,187,1.024,0.0575577,0.158196,0.353578,0.625533,0.919728,'yes','yes',0.29980510356836,0.191215506987646,0.637404514243826,0.851066129514948,0.373926125932485,0.372385385679081,0.49918320775032,0.258259843569249,0.551708477782086,0.758829759899527
2.954,-1.7048,?,?,?,2.118e-05,2.0629,30.4,?,?,10.52,600,4.096,0.0875329,0.216848,0.4362,0.695007,0.938412,'yes','yes',0.514971241587773,0.437773720826954,0.171451179310679,0.143675202503800,0.804165170527995,0.930626475950703,0.564440300455317,0.646338068181649,0.0352499166037887,0.395144718466327
0.348,?,-3.073,?,?,9.431e-06,1.9209,5.4,?,?,14.21,4775,128,0.027668,0.0688052,0.150119,0.29503,0.673159,'no','yes',0.531478687888011,0.192759067751467,0.903077588649467,0.464170563500375,0.530134222004563,0.544171127257869,0.403674639761448,0.0227194631006569,0.934722589794546,0.31884925509803
4.27,-1.4072,?,?,?,9.087e-05,2.0258,21.8,?,?,10,?,2.048,0.0523922,0.147656,0.334419,0.597405,0.903208,'yes','no',0.67472650995478,0.906108938390389,0.963411879027262,0.981659851036966,0.392723759636283,0.0670100699644536,0.509523297892883,0.00451837293803692,0.0258759262505919,0.184093815507367
6.6,-1.3997,?,?,?,?,2.1942,11.5,?,?,6.58,454,16.384,0.0518948,0.145486,0.328473,0.588253,0.898535,'yes','no',0.0199445600155741,0.133490695618093,0.618746956810355,0.105291600106284,0.77204595063813,0.201216415502131,0.96380149689503,0.0350951864384115,0.430232573766261,0.112699116347358
3.53,-1.1476,?,?,?,?,2.1864,27.4,?,?,10.48,775,8.192,0.0910875,0.217816,0.430556,0.686339,0.934499,'yes','no',0.589455051347613,0.206914349691942,0.0129702126141638,0.794127942295745,0.739632842130959,0.95464631705545,0.75689685693942,0.8594679327216,0.553806873038411,0.509813877055421
0.767,-1.7404,?,?,?,4.772e-05,2.0446,52.7,?,?,10.83,262,0.512,0.0354683,0.10734,0.261613,0.510469,0.86172,'yes','yes',0.970731085631996,0.749507239554077,0.741167421452701,0.9639053393621,0.801854155259207,0.655137441121042,0.697293974459171,0.522157145664096,0.0409595158416778,0.992362975841388
0.5295,-1.3529,?,?,?,3.431e-05,2.1188,19.6,?,?,9.43,221,1.024,0.00895126,0.0255989,0.0642216,0.150126,0.478981,'yes','yes',0.99775465670973,0.241661590291187,0.0583613342605531,0.275045294780284,0.840796429663897,0.0408864254131913,0.293556280899793,0.0235270261764526,0.867502191103995,0.530323371523991
