@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@data
6.29,-1.1718,?,322.601,1.2227e-05,0.0001329,1.8576,38.4,?,197.2,13.26,2820,64,0.148584,'no','no','153514',0.75251709134318,0.97767642699182
3.35,-1.7132,?,52.9634,6.1513e-07,?,2.905,12.5,-0.024,10.8,9.29,311,2.048,0.155611,'yes','yes','154112',0.287196331424639,0.677186954300851
1.1,-1.1896,?,69.0006,3.703e-06,9.997e-05,2.0197,64.4,0.095,7.04,23,1450,1.024,0.0172518,'yes','yes','309111',0.966303296620026,0.801893913885579
2.433,-1.56,?,109.165,5.8812e-06,?,2.1677,74.8,?,46.62,9.06,209,0.512,0.0953979,'yes','yes','309096',0.0990842033643275,0.95958844339475
0.606,-0.83,?,81.5773,1.8614e-05,1.402e-05,1.9805,339.9,?,9.1,18,?,0.064,0.0123453,'yes','yes','130088',0.184586373157799,0.356673458591104
0.4428,-0.4666,?,33.4456,?,8.364e-06,2.7283,8.1,-0.054,8.37,9.39,437,4.096,0.052543,'yes','yes','209755',0.343049604445696,0.357281862990931
1.545,?,-3.3547,19.0219,5.8137e-08,?,2.2331,8.3,?,2.97,?,?,?,0.0201623,?,'yes','312047',0.801195259438828,0.027105720480904
0.783,-1.7367,?,74.3109,3.8019e-06,0.0001085,2.7826,15.1,0.483,205.92,7,1260,64,0.290466,'no','no','179968',0.336848332546651,0.113062516786158
4.045,-1.1843,?,?,1.0442e-06,5.761e-06,1.8758,45.1,?,6.06,10.17,199,0.512,0.11637,'yes','yes','180455',0.144859845517203,0.305180133553222
0.947,-1.4663,?,57.3167,5.1358e-06,?,2.0516,136.3,?,34.68,0,0,0,0.0341254,'yes','no','293795',0.0507022235542536,0.096603758400306
3.221,-1.8763,?,?,1.8464e-06,1.082e-05,1.9953,23.5,-0.021,295.55,9.05,179,0.512,0.181242,'yes','yes','211957',0.603954528225586,0.281145463697612
2.6147,-1.1652,?,286.555,8.6884e-06,9.562e-05,1.9662,41.4,?,239.68,8.38,234,1.024,0.0893744,'yes','yes','151207',0.332635532831773,0.262238649651408
5.6,-0.82,?,70.8974,1.3183e-06,?,1.959,43.1,-0.022,23.03,12.06,220,0.256,0.124197,'yes','no','231362',0.605029114289209,0.375095220515504
3.2,?,-2.482,23.707,2.4765e-07,?,2.2036,17,?,7.05,11.6,371,1.024,0.0298625,'yes','no','231231',0.111898222239688,0.140540969325230
2.346,?,-2,?,1.5581e-06,6.881e-05,2.0518,14.1,?,4.9,11.47,264,2.048,0.0845535,'yes','yes','163136',0.466936353361234,0.131320212269202
0.08,-0.2721,?,?,1.6713e-07,?,1.981,7.3,?,8.32,9.84,527,4.096,0.133826,'yes','no','163170',0.514200729317963,0.335838206578046
4.349,-1.219,?,77.2381,1.9154e-06,?,2.1199,11.6,?,45.6,7.51,1323,64,0.134745,'no','no','301981',0.613496396690607,0.144085010513663
1.55,-1.016,?,?,6.9914e-06,4.785e-05,2.202,62.6,?,50.96,15.07,525,1.024,0.123815,'yes','yes','163438',0.693176202941686,0.678284756606445
0.97,-0.275,?,?,5.4231e-07,?,2.3829,12.5,?,161.25,10.8,2494,64,0.199427,'no','yes','276205',0.771720082266256,0.301702048396692
1.605,-1.3081,?,240.469,1.6687e-05,5.896e-05,1.9889,79.7,?,148.32,?,?,?,0.0806349,?,'no','292934',0.389528933214024,0.909479013178498
0.49,?,-2.1326,42.5112,1.2386e-05,4.086e-05,1.8144,50.7,?,9.57,17.95,660,1.024,0.00487404,'yes','yes','377179',0.784877319587395,0.936707024695352
1.24,-0.464,?,78.2516,7.7496e-06,?,1.6634,63.3,?,126.36,6.74,156,1.024,0.107049,'yes','no','370791',0.662992794532329,0.162133190082386
1.29,-1.2931,?,85.2292,?,?,2.2108,16.2,-0.124,28.71,?,?,?,0.130951,?,'no','103780',0.154856205219403,0.443872299045324
3.082,-1.0137,?,?,3.6843e-06,0.0001379,1.623,50.7,?,102.55,14.77,490,1.024,0.17201,'yes','yes','213823',0.293509928043932,0.275829772697762
1.03,-1.6781,?,298.132,4.3132e-05,0.0001608,1.9873,379.3,0.134,58.29,8.14,77,0.064,0.0161621,'yes','yes','309010',0.404855886008590,0.667316609993577
2.45,-1.8196,?,?,3.9601e-07,?,1.9658,7.3,?,14.72,7.15,1465,64,0.159326,'no','no','286809',0.245523879071698,0.876578702358529
0.971,-1.6883,?,?,1.458e-06,6.29e-05,2.0584,83.3,?,4.44,11.47,200,0.256,0.00934695,'yes','yes','373172',0.252741849049926,0.917315701488405
3.24,-1.9988,?,?,1.8652e-06,0.0001249,1.9995,18.2,?,153.55,10,?,1.024,0.147537,'yes','yes','111622',0.422623072518036,0.649144518189132
2.17,-0.7461,?,42.227,5.738e-07,?,2.1291,24.6,?,7.68,?,?,?,0.0805385,?,'yes','287364',0.705420719925314,0.115624149562791
4.667,-1.3728,?,58.5787,8.4459e-07,?,1.6561,10.4,-0.012,31.05,7.44,1426,64,0.142291,'no','yes','412982',0.0435562231577933,0.812793970340863
2.821,-1.1188,?,187.41,1.7169e-05,1.914e-05,1.9588,42,?,9.8,16,?,0.512,0.0263409,'yes','yes','131560',0.49249516101554,0.971128666074947
0.5915,-1.7402,?,51.2649,?,?,1.9677,13.4,-0.237,17.38,9,?,8.192,0.173641,'yes','no','106709',0.445078515447676,0.55754230893217
0.937,-1.6966,?,142.501,2.2459e-06,?,2.0345,43.5,?,5.92,19.85,927,1.024,0.0578667,'yes','yes','229185',0.344489792361856,0.0858940195757896
2.68,?,-2.171,20.5322,?,1.87e-05,2.1018,6.4,?,39.9,6.78,345,4.096,0.116809,'yes','yes','213486',0.00760598224587739,0.446378683205694
3.78,-0.3394,?,?,6.0501e-07,0.0001163,2.0816,16.4,?,18.54,7.96,363,3.072,0.134062,'yes','yes','213630',0.678657745709643,0.57580462936312
3.375,-1.8856,?,?,2.1505e-06,5.13e-05,2.2281,12.4,0.192,90.24,7.12,1011,64,0.213445,'no','yes','346386',0.103740613907576,0.595890117576346
0.836,-1.4067,?,122.638,4.4072e-06,7.481e-05,2.0303,48.1,0.23,51,10.03,201,0.512,0.128738,'yes','yes','271019',0.862592783058062,0.0490972034167498
3.355,-1.9393,?,?,3.2846e-06,?,?,22.6,?,42,10.83,1510,64,0.118595,'no','no','252593',0.190784066449851,0.84501953725703
3.626,-1.1777,?,192.945,7.4479e-06,3.033e-05,1.5239,26.8,-0.002,330.66,?,?,?,0.115814,?,'yes','285654',0.31513657188043,0.180743112228811
2.641,-1.7522,?,90.0227,2.7375e-06,3.994e-05,2.2039,36.6,?,43.89,17.85,4514,80,0.153451,'no','yes','302888',0.74390265182592,0.751226160675287
1.14,-1.5712,?,56.7923,1.037e-06,0.001393,1.7782,10,-0.047,79.2,7.13,1485,64,0.204159,'no','yes','297114',0.756980078294873,0.191321372054517
1.949,?,-2.061,62.0052,4.3185e-06,0.0001808,2.0068,43.7,0.096,94.6,8,?,1.024,0.0927309,'yes','no','111063',0.575478692771867,0.195645925356075
1.755,-0.5261,?,36.0217,4.1091e-07,?,2.3217,14.8,?,43.56,9.39,238,1.024,0.0416163,'yes','no','420398',0.9031697451137,0.353684592759237
1.44,-1.2172,?,50.8613,1.4075e-06,0.0001288,1.9554,49,?,30.96,9,?,0.512,0.0629064,'yes','yes','111529',0.529890212928876,0.615847800392658
1.416,-1.7242,?,55.7354,1.4522e-06,?,1.8681,16.1,-0.018,125.28,11.68,2763,64,0.258199,'no','yes','313116',0.0495358631014824,0.697019248502329
1.6398,-1.1255,?,?,2.2323e-05,4.126e-05,1.7951,157.5,?,19.57,25.82,1604,1.024,0.0289854,'yes','yes','313299',0.527100700419396,0.338125737383962
3.036,-1.1652,?,860.327,5.1189e-05,4.244e-05,2.1609,123,0.142,83.66,17.87,741,1.024,0.0282951,'yes','yes','313417',0.500875871395692,0.413577209925279
0.54,-1.2938,?,141.254,0.00014773,0.0001623,1.973,719.8,0.097,115.2,22.57,1097,1.024,0.0261202,'yes','yes','355083',0.889003288932145,0.726408588932827
3.038,-1.3115,?,?,4.317e-06,9.483e-05,2.0491,42,?,275.59,17.95,6719,128,0.28528,'no','no','332851',0.795925836078823,0.648903493303806
2.352,-1.5259,?,82.2751,2.4964e-06,2.697e-05,2.0755,25.9,-0.003,47.7,10.23,491,3.072,0.208746,'yes','yes','255445',0.809342141030356,0.0184050269890577
4.9,-1.4133,?,?,4.3832e-06,?,2.1623,22.3,?,229.89,10.54,2188,64,0.308321,'no','no','209352',0.57390326843597,0.134079590206966
2.71,-1.1771,?,36.882,6.5238e-07,4.765e-05,2.3996,17.2,?,51.03,11.07,1020,12.16,0.0872283,'yes','yes','358422',0.147560861892998,0.975017422344536
0.82,-1.004,?,?,3.337e-05,5.926e-05,1.8098,262.1,0.245,21.2,?,?,?,0.02026,?,'yes','278854',0.223638041177765,0.510315904859453
3.8479,-1.4333,?,129.472,3.342e-06,3.569e-05,1.9514,16,?,169.1,11.49,2138,64,0.218448,'no','yes','332931',0.448719626525417,0.99655521614477
2.31,?,-2.0015,31.0335,1.9941e-07,?,2.2968,8.6,?,3.55,8.48,2083,64,0.101626,'no','yes','278693',0.522223301697522,0.362740494078025
3.91,-1.4744,?,96.4822,1.4223e-05,0.0003059,2.1023,42.8,0.072,369.94,8.42,204,1.024,0.175267,'yes','no','180977',0.231071146437898,0.9466101329308
3.44,-0.6588,?,144.268,?,?,2.1926,15.8,?,32.39,8.14,361,4.096,0.0719493,'yes','no','238174',0.792220817878842,0.869734053499997
0.0331,-0.8437,?,?,7.8535e-07,?,3.83,6.3,0.39,128,7.84,2111,80,0.271464,'no','yes','191157',0.209557005204260,0.0853772626724094
