"alpha.hat" "prob.high" "prob.low" "triggerids"
"104" 0.874074074074074 0.0039 0.9961 "356890"
"105" 0.592592592592593 0.0329 0.9671 "318094"
"106" 0.00740740740740741 0.5831 0.4169 "419932"
"107" 0.622222222222222 0.0295 0.9705 "361830"
"108" 0.755555555555556 0.0113 0.9887 "224552"
"109" 0.711111111111111 0.0146 0.9854 "224364"
"110" 0.296296296296296 0.1493 0.8507 "180241"
"111" 0.00740740740740741 0.4902 0.5098 "277571"
"112" 0.125925925925926 0.2835 0.7165 "159913"
"113" 0.585185185185185 0.0338 0.9662 "352420"
"114" 0.2 0.1865 0.8135 "318170"
"115" 0.355555555555556 0.1053 0.8947 "302728"
"116" 0.0444444444444444 0.3758 0.6242 "221627"
"117" 0.562962962962963 0.0432 0.9568 "176818"
"118" 0.940740740740741 0.0012 0.9988 "176918"
